name,mp_bigben2,mp_bigben2_underwater,mp_bigben2_osp,mp_bigben2_drone,mp_bigben2_warbird
sunenable,1,1,1,1,1
sunshadowscale,0.350512,0.3,1,1,1
sunshadowscale_time,0,0,0,0,0
spotlimit,2,3,4,4,4
qualityspotshadow,1,1,1,1,1
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.255737,0.2,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0,0
specularcolorscale,1,1.5,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.0323624,0.15,0.087,0.087,0.087
veilstrength_time,0,0.1,0,0,0
veilbackgroundstrength,0.868357,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,0,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0,0.1,0,0,0
tonemapexposure,-10,32,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,-0.692108,0,0,0,0
tonemapexposureadjust_time,0,0,0,0,0
tonemapmaxexposure,9.55125,-9.75,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,0.02,0.5,0.02,0.02,0.02
tonemapadaptspeed_time,0,0.5,0,0,0
tonemapdarkev,2.8401,6.7469,2.8401,2.8401,2.8401
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,7.823,7.1437,7.823,7.823,7.823
tonemapmidev_time,0,0,0,0,0
tonemaplightev,12.8058,7.5404,12.8058,12.8058,12.8058
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-3.1699,-1.848,-3.1699,-3.1699,-3.1699
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,-0.0651,-1.6531,-0.0651,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,0,0,0,0
tonemaplightexposureadjust,1.4739,-1.4695,1.4739,1.4739,1.4739
tonemaplightexposureadjust_time,0,0,0,0,0
tonemapminexposureadjust,-3.1699,-3.1699,-3.1699,-3.1699,-3.1699
tonemapminexposureadjust_time,0,0,0,0,0
tonemapmaxexposureadjust,2.3219,2.3219,2.3219,2.3219,2.3219
tonemapmaxexposureadjust_time,0,0,0,0,0
