name,mp_bigben2,mp_bigben2_underwater,mp_bigben2_osp,mp_bigben2_drone,mp_bigben2_warbird
sunenable,1,0,0,1,0
sunshadowscale,1,0.3,1,1,1
sunshadowscale_time,0,0,0,0,0
spotlimit,4,3,4,4,4
qualityspotshadow,0,1,0,0,0
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.519374,0.2,0.519374,0.519374,0.519374
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,5,3,3.5,3.5,3.5
sunfilterradius_time,0,0,0,0,0
spotfilterradius,4,2,4,4,4
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1.5,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.0583504,0.15,0.535416,0.0583504,0.0583504
veilstrength_time,0,0.1,0,0,0
veilbackgroundstrength,0.971545,0.913,1.34991,0.971545,0.971545
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,0,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0,0.1,0,0,0
tonemapexposure,-10,32,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,-0.201288,0,-0.201288,-0.201288,-0.201288
tonemapexposureadjust_time,0,0,0,0,0
tonemapmaxexposure,-10,-9.75,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,0.4,0.5,0.3,0.3,0.3
tonemapadaptspeed_time,0.5,0.5,0,0,0
tonemapdarkev,5.3,6.7469,5.3,5.3,5.3
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,8.85855,7.1437,8.85855,8.85855,8.85855
tonemapmidev_time,0,0,0,0,0
tonemaplightev,13.2106,7.5404,13.2106,13.2106,13.2106
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-2.15449,-1.848,-2.15449,-2.15449,-2.15449
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,-0.000125647,-1.6531,-0.000125647,-0.000125647,-0.000125647
tonemapmidexposureadjust_time,0,0,0,0,0
tonemaplightexposureadjust,1.76699,-1.4695,1.76699,1.76699,1.76699
tonemaplightexposureadjust_time,0,0,0,0,0
tonemapminexposureadjust,-3.70125,-3.1699,-3.70125,-3.70125,-3.70125
tonemapminexposureadjust_time,0,0,0,0,0
tonemapmaxexposureadjust,4.39976,2.3219,4.39976,4.39976,4.39976
tonemapmaxexposureadjust_time,0,0,0,0,0
tonemapwhite,472.717,512,283.883,472.717,472.717
tonemapwhite_time,0,0.1,0,0,0
tonemapshoulder,0.94686,0.94,0.959235,0.94686,0.94686
tonemapshoulder_time,0,0,0,0,0
tonemapcrossover,2.71233,0.1,7.30207,2.71233,2.71233
tonemapcrossover_time,0,0,0,0,0
tonemaptoe,0.263425,0,0.263425,0.263425,0.263425
tonemaptoe_time,0,0,0,0,0
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
aodiminish,1,1,1,1,1
aodiminish_time,0,0,0,0,0
ssaostrength,0.45,0.6,0,0.45,0
ssaostrength_time,0,0,0,0,0
ssaopower,12,12,0,12,0
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,25,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0
hemiaostrength,0.5,0,0.5,0.5,0.5
hemiaostrength_time,0,1000,0,0,0
hemiaopower,1,0,1,1,1
hemiaopower_time,0,900,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,1,0,0,0
mdao,1,0,0,1,0
mdaooccluderculldistance,1000,1,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,1,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0.3,0,0,0
mdaocapsulestrength,0.12,1,0.12,0.12,0.12
mdaocapsulestrength_time,0,3,0,0,0
mdaovolumestrength,0.12,0,0.12,0.12,0.12
mdaovolumestrength_time,0,2,0,0,0
