name,mp_blackbox,mp_blackbox_osp,mp_blackbox_drone,mp_blackbox_warbird
sunenable,1,0,0,0
sunshadowscale,1,1,1,1
sunshadowscale_time,1,1,1,1
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.480203,0.480203,0.480203,0.480203
sunsamplesizenear_time,0,0,0,0
sunfilterradius,4,4,4,4
sunfilterradius_time,0,0,0,0
spotfilterradius,4,4,4,4
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.05,0.05,0.05,0.05
veilstrength_time,2,2,2,2
veilbackgroundstrength,0.878955,0.878955,0.878955,0.878955
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,1,1,1,1
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,-0.3,-0.3,-0.3,-0.3
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,6.63847,6.63847,6.63847,6.63847
tonemapdarkev_time,0,0,0,0
tonemapmidev,9.98969,9.98969,9.98969,9.98969
tonemapmidev_time,0,0,0,0
tonemaplightev,12.1858,12.1858,12.1858,12.1858
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-4.1621,-4.1621,-4.1621,-4.1621
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-1.06137,-1.06137,-1.06137,-1.06137
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,0.474137,0.474137,0.474137,0.474137
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-4.17186,-4.17186,-4.17186,-4.17186
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,0.54598,0.54598,0.54598,0.54598
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,512,512,512,512
tonemapwhite_time,2,2,2,2
tonemapshoulder,0.95,0.95,0.95,0.95
tonemapshoulder_time,0,0,0,0
tonemapcrossover,0,0,0,0
tonemapcrossover_time,0,0,0,0
tonemaptoe,0,0,0,0
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
aodiminish,1,1,1,1
aodiminish_time,0,0,0,0
ssaostrength,1.1,0,0,0
ssaostrength_time,0,0,0,0
ssaopower,4,0,0,0
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
hemiaostrength,0.5,0.5,0.5,0.5
hemiaostrength_time,0,0,0,0
hemiaopower,1,1,1,1
hemiaopower_time,0,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,0,0,0
mdao,1,0,0,0
mdaooccluderculldistance,1793,1793,1793,1793
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,385,385,385,385
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,0.85,0.85,0.85,0.85
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,0.257812,0.257812,0.257812,0.257812
mdaovolumestrength_time,0,0,0,0
