name,mp_climate_3,mp_climate3_water,mp_climate_3_osp
sunenable,1,1,0
sunshadowscale,0.4,0.5,0.5
sunshadowscale_time,0,0,0
spotlimit,2,4,2
qualityspotshadow,0,0,1
usedsuncascadecount,2,2,2
sunsamplesizenear,0.336327,0.15,0.15
sunsamplesizenear_time,0,0,0
specularcolorscale,1,1,1
specularcolorscale_time,0,0,0
diffusecolorscale,1,1,1
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.0615467,3,0.0615467
veilstrength_time,0,1,0
veilbackgroundstrength,1.038,0.913,0.913
veilbackgroundstrength_time,0,1.2,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,1,0
tonemapautoexposureadjust,0,-2.16992,0
tonemapautoexposureadjust_time,0,0.2,0
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,2,0
tonemapexposureadjust,0.218057,0,0
tonemapexposureadjust_time,0,2,0
tonemapmaxexposure,12.0011,-10,-10
tonemapmaxexposure_time,0,2,0
tonemapadaptspeed,0.02,0.02,0.02
tonemapadaptspeed_time,0,2,0
tonemapdarkev,4.68082,6.1619,4.68082
tonemapdarkev_time,0,2,0
tonemapmidev,11.756,9.4839,11.756
tonemapmidev_time,0,2,0
tonemaplightev,17.0386,12.8058,17.0386
tonemaplightev_time,0,2,0
tonemapdarkexposureadjust,-1.9917,-3.1699,-1.9917
tonemapdarkexposureadjust_time,0,2,0
tonemapmidexposureadjust,0.137594,-0.0651,0.137594
tonemapmidexposureadjust_time,0,2,0
tonemaplightexposureadjust,1.008,1.4739,1.008
tonemaplightexposureadjust_time,0,2,0
tonemapminexposureadjust,-1.9917,-3.1699,-1.9917
tonemapminexposureadjust_time,0,2,0
tonemapmaxexposureadjust,1.0854,2.3219,1.0854
tonemapmaxexposureadjust_time,0,2,0
