name,mp_climate_3,mp_climate3_water,mp_climate_3_osp
sunenable,1,1,0
sunshadowscale,1,1,1
sunshadowscale_time,0,0,0
spotlimit,4,4,2
qualityspotshadow,1,0,1
usedsuncascadecount,2,2,2
sunsamplesizenear,.6,0.15,0.15
sunsamplesizenear_time,0,0,0
sunfilterradius,4,2,2
sunfilterradius_time,0,0,0
spotfilterradius,4,2,2
spotfilterradius_time,0,0,0
specularcolorscale,1,1,1
specularcolorscale_time,0,0,0
diffusecolorscale,1,1,1
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.0615467,3,0.0615467
veilstrength_time,0,1,0
veilbackgroundstrength,1.038,0.913,0.913
veilbackgroundstrength_time,0,1.2,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,1,0
tonemapautoexposureadjust,0,-2.16992,0
tonemapautoexposureadjust_time,0,0.2,0
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,2,0
tonemapexposureadjust,0,0,0
tonemapexposureadjust_time,0,2,0
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,2,0
tonemapadaptspeed,0.02,0.02,0.02
tonemapadaptspeed_time,0,2,0
tonemapdarkev,6.23962,6.1619,4.68082
tonemapdarkev_time,0,2,0
tonemapmidev,10.5869,9.4839,11.756
tonemapmidev_time,0,2,0
tonemaplightev,17.0386,12.8058,17.0386
tonemaplightev_time,0,2,0
tonemapdarkexposureadjust,-1.9917,-3.1699,-1.9917
tonemapdarkexposureadjust_time,0,2,0
tonemapmidexposureadjust,-0.00195785,-0.0651,0.137594
tonemapmidexposureadjust_time,0,2,0
tonemaplightexposureadjust,0.258,1.4739,1.008
tonemaplightexposureadjust_time,0,2,0
tonemapminexposureadjust,-1.9917,-3.1699,-1.9917
tonemapminexposureadjust_time,0,2,0
tonemapmaxexposureadjust,0.7854,2.3219,1.0854
tonemapmaxexposureadjust_time,0,2,0
tonemapwhite,512,512,512
tonemapwhite_time,0,2,0
tonemapshoulder,0.94,0.92,0.94
tonemapshoulder_time,0,2,0
tonemapcrossover,2.09162,2,2.09162
tonemapcrossover_time,0,2,0
tonemaptoe,0,0,0
tonemaptoe_time,0,0,0
tonemapblack,0,0,0
tonemapblack_time,0,0,0
aodiminish,1,1,1
aodiminish_time,0,1,0
ssaostrength,0.45,0.5,0.45
ssaostrength_time,0,1,0
ssaopower,12,0,12
ssaopower_time,0,1,0
ssaominstrengthdepth,25,50,25
ssaominstrengthdepth_time,0,1,0
ssaomaxstrengthdepth,40,0,40
ssaomaxstrengthdepth_time,0,1000,0
hemiaostrength,0.5,0,0.5
hemiaostrength_time,0,900,0
hemiaopower,1,0,1
hemiaopower_time,0,1,0
hemiaorejectionfalloff,0.5,0,0.5
hemiaorejectionfalloff_time,0,1,0
mdao,1,0,0
mdaooccluderculldistance,1000,1000,1000
mdaooccluderculldistance_time,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0
mdaocapsulestrength,0.5,1,0.5
mdaocapsulestrength_time,0,0,0
mdaovolumestrength,1,1,1
mdaovolumestrength_time,0,0,0
