name,mp_clowntown3
sunenable,1
sunshadowscale,0.6
sunshadowscale_time,0
spotlimit,2
qualityspotshadow,1
usedsuncascadecount,2
sunsamplesizenear,0.45
sunsamplesizenear_time,0
specularcolorscale,1
specularcolorscale_time,0
diffusecolorscale,1
diffusecolorscale_time,0
veil,0
veilstrength,0.0686093
veilstrength_time,0
veilbackgroundstrength,0.913
veilbackgroundstrength_time,0
tonemap,2
tonemapauto,1
tonemapblend,1
tonemaplockautoexposureadjust,0
tonemapautoexposureadjust,0
tonemapautoexposureadjust_time,0
tonemapexposure,-10
tonemapexposure_time,0
tonemapexposureadjust,0.0286998
tonemapexposureadjust_time,0
tonemapmaxexposure,13
tonemapmaxexposure_time,0
tonemapadaptspeed,0.02
tonemapadaptspeed_time,0
tonemapdarkev,7.72595
tonemapdarkev_time,0
tonemapmidev,12.9897
tonemapmidev_time,0
tonemaplightev,20.0398
tonemaplightev_time,0
tonemapdarkexposureadjust,-2.57345
tonemapdarkexposureadjust_time,0
tonemapmidexposureadjust,-0.410747
tonemapmidexposureadjust_time,0
tonemaplightexposureadjust,2.28299
tonemaplightexposureadjust_time,0
tonemapminexposureadjust,-2.57345
tonemapminexposureadjust_time,0
tonemapmaxexposureadjust,3.21324
tonemapmaxexposureadjust_time,0
