name,mp_clowntown3,mp_clowntown3_osp
sunenable,1,0
sunshadowscale,1,.5
sunshadowscale_time,0,0
spotlimit,4,2
qualityspotshadow,1,1
usedsuncascadecount,2,2
sunsamplesizenear,0.25,.1
sunsamplesizenear_time,0,0
sunfilterradius,6,2
sunfilterradius_time,0,0
spotfilterradius,4,2
spotfilterradius_time,0,0
specularcolorscale,1,1
specularcolorscale_time,0,0
diffusecolorscale,1,1
diffusecolorscale_time,0,0
veil,1,1
veilstrength,0.0686093,0.0686093
veilstrength_time,0,0
veilbackgroundstrength,0.913,0.913
veilbackgroundstrength_time,0,0
tonemap,2,2
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,0,0
tonemapautoexposureadjust,0,0
tonemapautoexposureadjust_time,0,0
tonemapexposure,-10,-10
tonemapexposure_time,0,0
tonemapexposureadjust,0,0
tonemapexposureadjust_time,0,0
tonemapmaxexposure,-10,-10
tonemapmaxexposure_time,0,0
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,0
tonemapdarkev,7.72595,7.72595
tonemapdarkev_time,0,0
tonemapmidev,12.9897,12.9897
tonemapmidev_time,0,0
tonemaplightev,20.0398,20.0398
tonemaplightev_time,0,0
tonemapdarkexposureadjust,-2.57345,-2.57345
tonemapdarkexposureadjust_time,0,0
tonemapmidexposureadjust,-0.410747,-0.410747
tonemapmidexposureadjust_time,0,0
tonemaplightexposureadjust,2.28299,2.28299
tonemaplightexposureadjust_time,0,0
tonemapminexposureadjust,-2.57345,-2.57345
tonemapminexposureadjust_time,0,0
tonemapmaxexposureadjust,3.21324,3.21324
tonemapmaxexposureadjust_time,0,0
tonemapwhite,512,512
tonemapwhite_time,0,0
tonemapshoulder,0.949999,0.949999
tonemapshoulder_time,0,0
tonemapcrossover,2,2
tonemapcrossover_time,0,0
tonemaptoe,0,0
tonemaptoe_time,0,0
tonemapblack,0,0
tonemapblack_time,0,0
aodiminish,1,1
aodiminish_time,0,0
ssaostrength,0.45,0
ssaostrength_time,0,0
ssaopower,12,0
ssaopower_time,0,0
ssaominstrengthdepth,25,25
ssaominstrengthdepth_time,0,0
ssaomaxstrengthdepth,40,40
ssaomaxstrengthdepth_time,0,0
hemiaostrength,0.5,0.5
hemiaostrength_time,0,0
hemiaopower,1,1
hemiaopower_time,0,0
hemiaorejectionfalloff,0.5,0.5
hemiaorejectionfalloff_time,0,0
mdao,1,0
mdaooccluderculldistance,1000,1000
mdaooccluderculldistance_time,0,0
mdaooccluderfadeoutstartdistance,900,900
mdaooccluderfadeoutstartdistance_time,0,0
mdaocapsulestrength,0.353125,0.353125
mdaocapsulestrength_time,0,0
mdaovolumestrength,1,1
mdaovolumestrength_time,0,0
