name,mp_comeback,mp_comeback_int
sunenable,1,1
sunshadowscale,.55,1
sunshadowscale_time,0,0
spotlimit,1,2
qualityspotshadow,1,1
usedsuncascadecount,2,2
sunsamplesizenear,0.67,0.2
sunsamplesizenear_time,0,0.5
specularcolorscale,1,1
specularcolorscale_time,0,0
diffusecolorscale,1,1
diffusecolorscale_time,0,0
veil,1,1
veilstrength,0.2,0.25
veilstrength_time,2,2
veilbackgroundstrength,0.913,0.913
veilbackgroundstrength_time,0,0
tonemap,2,2
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,0,0
tonemapautoexposureadjust,-0.263034,0.415037
tonemapautoexposureadjust_time,0,0
tonemapexposure,-10,-10
tonemapexposure_time,0,0
tonemapexposureadjust,-2.2,-0.5
tonemapexposureadjust_time,1,1
tonemapmaxexposure,12.5,10
tonemapmaxexposure_time,2,2
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,0
tonemapdarkev,6.1619,6.1619
tonemapdarkev_time,0,0
tonemapmidev,8.92318,9.4839
tonemapmidev_time,0,0
tonemaplightev,12.8058,12.8058
tonemaplightev_time,0,0
tonemapdarkexposureadjust,-2.8133,-3.1699
tonemapdarkexposureadjust_time,0,0
tonemapmidexposureadjust,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,0
tonemaplightexposureadjust,0.391639,1.4739
tonemaplightexposureadjust_time,0,0
tonemapminexposureadjust,-0.699905,-3.1699
tonemapminexposureadjust_time,0,0
tonemapmaxexposureadjust,2.0827,2.3219
tonemapmaxexposureadjust_time,0,0
tonemapwhite,512,512
tonemapwhite_time,0,0
tonemapshoulder,0.94,0.94
tonemapshoulder_time,0,0
tonemapcrossover,1,1
tonemapcrossover_time,0,0
tonemaptoe,0,0
tonemaptoe_time,0,0
tonemapblack,0,0
tonemapblack_time,0,0
