name,mp_comeback,mp_comeback_int,mp_comeback_warbird,mp_comeback_drone,mp_comeback_osp
sunenable,1,1,1,1,1
sunshadowscale,1,1,1,1,1
sunshadowscale_time,0,0,0,0,0
spotlimit,4,4,4,4,4
qualityspotshadow,0,0,0,0,0
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.5,0.5,0.5,0.5,0.5
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,4,4,4,4,4
sunfilterradius_time,0,0,0,0,0
spotfilterradius,4,4,4,4,4
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.0234585,0.25,0.0234585,0.0234585,0.0234585
veilstrength_time,2,2,2,2,2
veilbackgroundstrength,0.913,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,1,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0.289507,0.289507,0.289507,0.289507,0.289507
tonemapautoexposureadjust_time,0,0,0,0,0
tonemapexposure,-10,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0
tonemapexposureadjust_time,0,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10,-10
tonemapmaxexposure_time,2,2,2,2,2
tonemapadaptspeed,0.02,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0,0
tonemapdarkev,3.66653,6.1619,3.66653,3.66653,3.66653
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,9.55764,9.4839,9.55764,9.55764,9.55764
tonemapmidev_time,0,0,0,0,0
tonemaplightev,15.1179,12.8058,15.1179,15.1179,15.1179
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-4.74477,-3.1699,-4.74477,-4.74477,-4.74477
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,-0.0934617,-0.0651,-0.0934617,-0.0934617,-0.0934617
tonemapmidexposureadjust_time,0,0,0,0,0
tonemaplightexposureadjust,3.66062,1.4739,3.66062,3.66062,3.66062
tonemaplightexposureadjust_time,0,0,0,0,0
tonemapminexposureadjust,-4.74477,-3.1699,-4.74477,-4.74477,-4.74477
tonemapminexposureadjust_time,0,0,0,0,0
tonemapmaxexposureadjust,3.66062,2.3219,3.66062,3.66062,3.66062
tonemapmaxexposureadjust_time,0,0,0,0,0
tonemapwhite,1024,512,1024,1024,1024
tonemapwhite_time,1,1,1,1,1
tonemapshoulder,0.94,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,0,0,0,0
tonemapcrossover,1.40297,1,1.40297,1.40297,1.40297
tonemapcrossover_time,0,0,0,0,0
tonemaptoe,0.109989,0,0.109989,0.109989,0.109989
tonemaptoe_time,0,0,0,0,0
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
aodiminish,1,1,1,1,1
aodiminish_time,0,0,0,0,0
ssaostrength,0.7125,0.65,0.7125,0.7125,0.7125
ssaostrength_time,2,2,2,2,2
ssaopower,8.5,12,8.5,8.5,8.5
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,25,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0
mdao,1,1,1,1,1
mdaooccluderculldistance,768,768,768,768,768
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,512,512,512,512,512
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0
mdaocapsulestrength,0.4375,1,0.4375,0.4375,0.4375
mdaocapsulestrength_time,0,0,0,0,0
mdaovolumestrength,0.265625,1,0.265625,0.265625,0.265625
mdaovolumestrength_time,0,0,0,0,0
