name,mp_dam,mp_dam_tunnel_long,mp_dam_interior,mp_dam_warehouse
sunenable,1,1,1,1
sunshadowscale,0.6,0.6,0.6,0.6
sunshadowscale_time,1,1,1,1
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0
specularcolorscale,0.7,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorsscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.01,0.03,0.06,0.005
veilstrength_time,1,2,1,1
veilbackgroundstrength,.96,0.7,1,.8
veilbackgroundstrength_time,1,1,1,1
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,1,1,1,1
tonemapexposureadjust,0,-2,0,-.4
tonemapexposureadjust_time,1,1,1,1
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,1,1,1,1
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0.001,0.001,0.001,0.001
tonemapdarkev,2.8401,2.8401,2.8401,2.8401
tonemapdarkev_time,1,1,1,1
tonemapmidev,8.2057,8.2057,8.2057,8.2057
tonemapmidev_time,1,1,1,1
tonemaplightev,13.5713,13.5713,13.5713,13.5713
tonemaplightev_time,1,1,1,1
tonemapdarkexposureadjust,-2.1699,-1.5850,-2.1699,-2.1699
tonemapdarkexposureadjust_time,1,1,1,1
tonemapmidexposureadjust,-0.2647,-0.5991,-0.3947,-0.3947
tonemapmidexposureadjust_time,1,1,1,1
tonemaplightexposureadjust,0.9175,0.1520,0.7370,0.7370
tonemaplightexposureadjust_time,1,1,1,1
tonemapminexposureadjust,-2.1699,-2.5850,-3.1699,-3.1699
tonemapminexposureadjust_time,1,1,1,1
tonemapmaxexposureadjust,1.4739,1.4739,1.4739,1.4739
tonemapmaxexposureadjust_time,1,1,1,1
tonemapwhite,512,512,512,512
tonemapwhite_time,1,1,1,1
tonemapshoulder,0.94,0.94,0.94,0.94
tonemapshoulder_time,1,1,1,1
tonemapcrossover,2,2,2,2
tonemapcrossover_time,1,1,1,1
tonemaptoe,0,0,0,0
tonemaptoe_time,1,1,1,1
tonemapblack,0,0,0,0
tonemapblack_time,1,1,1,1
ssaostrength,0.45,0.45,0.45,0.45
ssaostrength_time,1,1,1,1
ssaopower,2,2,2,2
ssaopower_time,1,1,1,1
ssaominstrengthdepth,1,1,0.5,0.5
ssaominstrengthdepth_time,1,1,1,1
ssaomaxstrengthdepth,30,40,30,30
ssaomaxstrengthdepth_time,1,1,1,1
ssaoblurradius,1,1,1,1
ssaoblurradius_time,0,0,0,0
