name,mp_detroit,mp_detroit_water
sunenable,1,1
sunshadowscale,0.256227,0.75
sunshadowscale_time,1,1
spotlimit,2,2
qualityspotshadow,0,1
usedsuncascadecount,2,2
sunsamplesizenear,0.302792,0.25
sunsamplesizenear_time,0,0
specularcolorscale,1,1
specularcolorscale_time,0,0
diffusecolorscale,1,1
diffusecolorscale_time,0,0
veil,1,1
veilstrength,0.04,0.04
veilstrength_time,2,2
veilbackgroundstrength,0.78,0.78
veilbackgroundstrength_time,0,0
tonemap,2,2
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,0,0
tonemapautoexposureadjust,0,0
tonemapautoexposureadjust_time,2,2
tonemapexposure,10,10
tonemapexposure_time,0,0
tonemapexposureadjust,1.35571,0.981266
tonemapexposureadjust_time,2,2
tonemapmaxexposure,8.00596,8.54506
tonemapmaxexposure_time,0,0
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,0
tonemapdarkev,6.0099,6.0099
tonemapdarkev_time,0,0
tonemapmidev,9.4079,9.4079
tonemapmidev_time,1,1
tonemaplightev,12.8058,12.8058
tonemaplightev_time,1,1
tonemapdarkexposureadjust,-2.30998,-3.1699
tonemapdarkexposureadjust_time,1,1
tonemapmidexposureadjust,0,-0.8
tonemapmidexposureadjust_time,1,1
tonemaplightexposureadjust,0.1,0.4739
tonemaplightexposureadjust_time,1,1
tonemapminexposureadjust,-3.1699,-3.1699
tonemapminexposureadjust_time,0,0
tonemapmaxexposureadjust,-1.96115,2.3219
tonemapmaxexposureadjust_time,0,0
