name,mp_detroit,mp_detroit_water,mp_detroit_osp,mp_detroit_drone,mp_detroit_warbird
sunenable,1,1,1,1,1
sunshadowscale,1,1,1,1,1
sunshadowscale_time,1,1,1,1,1
spotlimit,4,4,4,4,4
qualityspotshadow,0,0,0,0,0
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,2,2,2,2,2
sunfilterradius_time,0,0,0,0,0
spotfilterradius,2,2,2,2,2
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.04,0.04,0.04,0.04,0.04
veilstrength_time,2,2,2,2,2
veilbackgroundstrength,0.78,0.78,0.78,0.78,0.78
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,1,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0,0
tonemapexposure,9,9,9,9,9
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0
tonemapexposureadjust_time,2,2,2,2,2
tonemapmaxexposure,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0,0
tonemapdarkev,6.1615,6.1615,6.1615,6.1615,6.1615
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,7.71352,7.71352,7.71352,7.71352,7.71352
tonemapmidev_time,0,0,0,0,0
tonemaplightev,10.2881,10.2881,10.2881,10.2881,10.2881
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-2.4877,-2.4877,-2.4877,-2.4877,-2.4877
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,-0.463747,-0.463747,-0.463747,-0.463747,-0.463747
tonemapmidexposureadjust_time,0,0,0,0,0
tonemaplightexposureadjust,0.499999,0.499999,0.499999,0.499999,0.499999
tonemaplightexposureadjust_time,0,0,0,0,0
tonemapminexposureadjust,-2.4877,-2.4877,-2.4877,-2.4877,-2.4877
tonemapminexposureadjust_time,0,0,0,0,0
tonemapmaxexposureadjust,1,1,1,1,1
tonemapmaxexposureadjust_time,0,0,0,0,0
tonemapwhite,512,512,512,512,512
tonemapwhite_time,2,2,2,2,2
tonemapshoulder,0.95,0.95,0.95,0.95,0.95
tonemapshoulder_time,2,2,2,2,2
tonemapcrossover,2,2,2,2,2
tonemapcrossover_time,2,2,2,2,2
tonemaptoe,0.2,0.2,0.2,0.2,0.2
tonemaptoe_time,2,2,2,2,2
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
ssaostrength,0.45,0.45,0.45,0.45,0.45
ssaostrength_time,3,3,3,3,3
ssaopower,12,12,12,12,12
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,25,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0
mdao,0,0,0,0,0
mdaooccluderculldistance,1000,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0
mdaocapsulestrength,1,1,1,1,1
mdaocapsulestrength_time,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0
