name,mp_greenband,mp_greenband_osp,mp_greenband_drone,mp_greenband_warbird
sunenable,1,1,1,1
sunshadowscale,1,1,1,1
sunshadowscale_time,0,0,0,0
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0
sunfilterradius,2,2,2,2
sunfilterradius_time,0,0,0,0
spotfilterradius,2,2,2,2
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.0435422,0.0435422,0.0435422,0.0435422
veilstrength_time,2,2,2,2
veilbackgroundstrength,0.702195,0.702195,0.702195,0.702195
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,0,0,0,0
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,6.75667,6.75667,6.75667,6.75667
tonemapdarkev_time,0,0,0,0
tonemapmidev,10.5784,10.5784,10.5784,10.5784
tonemapmidev_time,0,0,0,0
tonemaplightev,16.542,16.542,16.542,16.542
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-4.45081,-4.45081,-4.45081,-4.45081
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-1.70393,-1.70393,-1.70393,-1.70393
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,3.30156,3.30156,3.30156,3.30156
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-4.45081,-4.45081,-4.45081,-4.45081
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,3.30156,3.30156,3.30156,3.30156
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,1024,1024,1024,1024
tonemapwhite_time,0,0,0,0
tonemapshoulder,0.969416,0.969416,0.969416,0.969416
tonemapshoulder_time,2,2,2,2
tonemapcrossover,0.916403,0.916403,0.916403,0.916403
tonemapcrossover_time,0,0,0,0
tonemaptoe,0.320015,0.320015,0.320015,0.320015
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
aodiminish,1,1,1,1
aodiminish_time,0,0,0,0
ssaostrength,0.45,0.45,0.45,0.45
ssaostrength_time,0,0,0,0
ssaopower,12,12,12,12
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
mdao,1,1,1,1
mdaooccluderculldistance,1512,1512,1512,1512
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,772,772,772,772
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,0.804688,0.804688,0.804688,0.804688
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,0.539063,0.539063,0.539063,0.539063
mdaovolumestrength_time,0,0,0,0
