name,mp_instinct,mp_instinct_tent,mp_instinct_tent2,mp_instinct_cave
sunenable,1,1,1,1
sunshadowscale,0.5,0.5,0.5,0.75
sunshadowscale_time,0.3,0.3,0.3,0.3
spotlimit,0,2,2,0
qualityspotshadow,1,1,1,0
usedsuncascadecount,2,2,2,2
sunsamplesizenear,1,1,1,1
sunsamplesizenear_time,0,0,0,0
specularcolorscale,2.37947,1.13,1.13,2.37947
specularcolorscale_time,0,0,0,0
diffusecolorscale,2.125,1,1,1
diffusecolorscale_time,0.3,0.3,0.3,0.3
veil,1,1,1,1
veilstrength,0.03,0.05,0.03,0.03
veilstrength_time,2,2,2,2
veilbackgroundstrength,0.61,0.68,0.61,0.61
veilbackgroundstrength_time,0.2,0.2,0.2,0.2
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,1,1,1,10
tonemapexposureadjust,-1,0,0,-0.5
tonemapexposureadjust_time,1,1,1,1
tonemapmaxexposure,0,0,0,0
tonemapmaxexposure_time,1,1,1,1
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,7.9693,6.1619,7.7469,7.9693
tonemapdarkev_time,0.4,0.4,0.4,0.4
tonemapmidev,10.7488,9.4839,10.6376,10.7488
tonemapmidev_time,0.4,0.4,0.4,0.4
tonemaplightev,13.5283,12.8058,13.5283,13.5283
tonemaplightev_time,0.4,0.4,0.4,0.4
tonemapdarkexposureadjust,-2.5850,-3.1699,-3.1699,-2.3626
tonemapdarkexposureadjust_time,0.4,0.4,0.4,0.4
tonemapmidexposureadjust,0.0534,-0.0651,-0.0651,0.1031
tonemapmidexposureadjust_time,0.4,0.4,0.4,0.4
tonemaplightexposureadjust,1.4739,1.4739,1.4739,1.4739
tonemaplightexposureadjust_time,0.4,0.4,0.4,0.4
tonemapminexposureadjust,-3.1699,-3.1699,-3.1699,-2.8480
tonemapminexposureadjust_time,0.4,0.2,0.2,0.4
tonemapmaxexposureadjust,2.3219,2.3219,2.3219,2.3219
tonemapmaxexposureadjust_time,0.4,0.2,0.2,0.4
tonemapwhite,512,512,512,512
tonemapwhite_time,2,2,2,2
tonemapshoulder,0.94,0.94,0.94,0.94
tonemapshoulder_time,0.4,0.2,0.4,0.4
tonemapcrossover,2,2,2,2
tonemapcrossover_time,0.2,0.2,0.2,0.2
tonemaptoe,0.25,0.2,0.3,0
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
ssaostrength,0.22,0.24,0.2,0.2
ssaostrength_time,0,0,0,0
ssaopower,12,12,12,12
ssaopower_time,0.2,0.2,0.2,0.2
ssaominstrengthdepth,12,25,0,12
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,35,40,40,35
ssaomaxstrengthdepth_time,0,0,0,0
