name,mp_lab2,mp_lab2_interiors,mp_lab2_osp,mp_lab2_sun_push,mp_lab2_sun_push_2
sunenable,1,1,1,1,1
sunshadowscale,0.6,0.5,0.25,0.6,.5
sunshadowscale_time,0,0,0,0,0
spotlimit,4,4,0,4,4
qualityspotshadow,1,1,1,1,1
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.25,0.2,0.15,0.4,0.4
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,4,2,2,4,2
sunfilterradius_time,0,0,0,0,0
spotfilterradius,2,2,2,2,2
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1,1,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.0636744,0.0636744,0.0636744,0.0636744,0.0636744
veilstrength_time,2,2,2,2,2
veilbackgroundstrength,0.816018,0.816018,0.816018,0.816018,0.816018
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,1,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0.2,0.2,0.2,0.2,0.2
tonemapexposure,-10,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0
tonemapexposureadjust_time,1,1,1,1,1
tonemapmaxexposure,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,0.100091,0.100091,0.100091,0.100091,0.100091
tonemapadaptspeed_time,0,0,0,0,0
tonemapdarkev,7.49682,9.3456,7.49682,7.49682,9.3456
tonemapdarkev_time,1,1,1,1,1
tonemapmidev,12.9978,13.7883,12.9978,12.9978,13.7883
tonemapmidev_time,1,1,1,1,1
tonemaplightev,17.4116,17.4116,17.4116,17.4116,17.4116
tonemaplightev_time,1,1,1,1,1
tonemapdarkexposureadjust,-0.684172,-0.257739,-0.684172,-0.684172,-0.257739
tonemapdarkexposureadjust_time,1,1,1,1,1
tonemapmidexposureadjust,1.17519,1.78126,1.17519,1.17519,1.78126
tonemapmidexposureadjust_time,1,1,1,1,1
tonemaplightexposureadjust,4.59995,4.59995,4.59995,4.59995,4.59995
tonemaplightexposureadjust_time,1,1,1,1,1
tonemapminexposureadjust,-6.4919,-0.3419,-0.3419,-6.4919,-0.3419
tonemapminexposureadjust_time,1,1,1,1,1
tonemapmaxexposureadjust,4.7219,4.7219,4.7219,4.7219,4.7219
tonemapmaxexposureadjust_time,1,1,1,1,1
tonemapwhite,512,512,512,512,512
tonemapwhite_time,1,1,1,1,1
tonemapshoulder,0.94,0.95,0.95,0.94,0.95
tonemapshoulder_time,1,1,1,1,1
tonemapcrossover,9.13756,4.27278,9.13756,9.13756,4.27278
tonemapcrossover_time,1,1,1,1,1
tonemaptoe,0,0,0,0,0
tonemaptoe_time,1,1,1,1,1
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
aodiminish,1,1,1,1,1
aodiminish_time,0,0,0,0,0
ssaostrength,1.875,1.875,1.875,1.875,1.875
ssaostrength_time,0,0,0,0,0
ssaopower,2.5,2.5,2.5,2.5,2.5
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,0,0,0,0,0
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0
mdao,1,1,1,1,1
mdaooccluderculldistance,1000,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0
mdaocapsulestrength,0.304688,0.304688,0.304688,0.304688,0.304688
mdaocapsulestrength_time,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0
