name,mp_lair,mp_lair_underwater,mp_lair_osp,mp_lair_warbird,mp_lair_drone
sunenable,1,1,0,1,1
sunshadowscale,1,0.3,1,1,1
sunshadowscale_time,0,0,0,0,0
spotlimit,4,3,4,4,4
qualityspotshadow,1,1,1,1,1
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.879295,0.2,0.879295,0.879295,0.879295
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,6.5919,1.5,6.5919,6.5919,6.5919
sunfilterradius_time,0,0,0,0,0
spotfilterradius,4,1,4,4,4
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1,1,1,1
specularcolorscale_time,0,0.15,0,0,0
diffusecolorscale,1,0.1,1,1,1
diffusecolorscale_time,0,0.913,0,0,0
veil,1,0,1,1,1
veilstrength,0.137794,1,0.137794,0.137794,0.137794
veilstrength_time,0,0,0,0,0
veilbackgroundstrength,1.07162,1,1.07162,1.07162,1.07162
veilbackgroundstrength_time,0,0,0,0,0
tonemap,2,2,2,2,2
tonemapauto,1,0,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0,0
tonemapexposure,-10,32,-10,-10,-10
tonemapexposure_time,0,0,0,0,0
tonemapexposureadjust,0.904459,0,0.904459,0.904459,0.904459
tonemapexposureadjust_time,2,2,2,2,2
tonemapmaxexposure,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0
tonemapadaptspeed,.3,0.3,.3,.3,.3
tonemapadaptspeed_time,0,0,0,0,0
tonemapdarkev,7.6347,8.0244,7.6347,7.6347,7.6347
tonemapdarkev_time,0,0,0,0,0
tonemapmidev,12.9284,12.5387,12.9284,12.9284,12.9284
tonemapmidev_time,0,0,0,0,0
tonemaplightev,15.7006,15.7006,15.7006,15.7006,15.7006
tonemaplightev_time,0,0,0,0,0
tonemapdarkexposureadjust,-2.73114,-3.03114,-2.73114,-2.73114,-2.73114
tonemapdarkexposureadjust_time,0,0,0,0,0
tonemapmidexposureadjust,-0.00207171,-0.152072,-0.00207171,-0.00207171,-0.00207171
tonemapmidexposureadjust_time,2,2,2,2,2
tonemaplightexposureadjust,2.25875,2.10875,2.25875,2.25875,2.25875
tonemaplightexposureadjust_time,2,2,2,2,2
tonemapminexposureadjust,-3.17972,-3.17972,-3.17972,-3.17972,-3.17972
tonemapminexposureadjust_time,2,2,2,2,2
tonemapmaxexposureadjust,3.74951,3.74951,3.74951,3.74951,3.74951
tonemapmaxexposureadjust_time,2,2,2,2,2
tonemapwhite,544,480,544,544,544
tonemapwhite_time,2,2,2,2,2
tonemapshoulder,0.94,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,0,0,0,0
tonemapcrossover,2.10213,1.74966,2.10213,2.10213,2.10213
tonemapcrossover_time,0,0,0,0,0
tonemaptoe,0,0,0,0,0
tonemaptoe_time,0,0,0,0,0
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
aodiminish,1,1,1,1,1
aodiminish_time,0,0,0,0,0
ssaostrength,0.45,0.45,0,0,0.45
ssaostrength_time,0,0,0,0,0
ssaopower,12,12,0,0,12
ssaopower_time,0,0,0,0,0
ssaominstrengthdepth,25,25,0,0,25
ssaominstrengthdepth_time,0,0,0,0,0
ssaomaxstrengthdepth,40,40,0,0,40
ssaomaxstrengthdepth_time,0,0,0,0,0
hemiaostrength,0.5,0.5,0,0,0.5
hemiaostrength_time,0,0,0,0,0
hemiaopower,1,1,0,0,1
hemiaopower_time,0,0,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,0,0,0,0
mdao,1,1,0,0,1
mdaooccluderculldistance,1000,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0
mdaocapsulestrength,1,1,1,1,1
mdaocapsulestrength_time,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0
