name,mp_laser2,mp_laser2_interior,mp_laser2_water,mp_laser2_interior_mid,mp_laser2_streak
sunenable,1,1,1,1,1
sunshadowscale,1,1,1,1,0.25
sunshadowscale_time,0,0,1,0,0
spotlimit,4,4,4,4,4
qualityspotshadow,0,0,0,0,0
usedsuncascadecount,2,2,2,2,2
sunsamplesizenear,0.88,0.88,0.5,0.88,0.88
sunsamplesizenear_time,0,0,0,0,0
sunfilterradius,4,4,2,4,4
sunfilterradius_time,0,0,0,0,0
spotfilterradius,4,4,2,4,4
spotfilterradius_time,0,0,0,0,0
specularcolorscale,1,1,0.2,1,1
specularcolorscale_time,0,0,0,0,0
diffusecolorscale,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0
veil,1,1,1,1,1
veilstrength,0.0300231,0.0353805,3,0.0353805,0.0300231
veilstrength_time,1,2,1,2,2
veilbackgroundstrength,0.564828,0.595485,0.913,0.595485,0.564828
veilbackgroundstrength_time,0,0,1.2,0,0
tonemap,2,2,2,2,2
tonemapauto,1,1,1,1,1
tonemapblend,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,1,0,0
tonemapautoexposureadjust,0,0,-2.16992,0,0
tonemapautoexposureadjust_time,1,1,0.2,1,1
tonemapexposure,-10,-10,-10,-10,-10
tonemapexposure_time,2,2,2,2,2
tonemapexposureadjust,-5.83E-05,-0.25,0,-0.5,-5.83E-05
tonemapexposureadjust_time,1,2,2,2,1
tonemapmaxexposure,-10,-10,-10,-10,-10
tonemapmaxexposure_time,2,2,2,2,2
tonemapadaptspeed,0.02,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,2,2,2,2,2
tonemapdarkev,9.3282,10.0954,6.1619,5.8,9.3282
tonemapdarkev_time,2,2,2,2,2
tonemapmidev,11.7674,13.1205,9.4839,13.1,11.7674
tonemapmidev_time,2,2,2,2,2
tonemaplightev,15.4344,14.9845,12.8058,16.5433,15.4344
tonemaplightev_time,2,2,2,2,2
tonemapdarkexposureadjust,-2.22072,-2.84357,-3.1699,-3.44357,-2.22072
tonemapdarkexposureadjust_time,2,2,2,2,2
tonemapmidexposureadjust,-1.35116,0.24052,-0.0651,0.69052,-1.35116
tonemapmidexposureadjust_time,2,2,2,2,2
tonemaplightexposureadjust,2.37203,3.21218,1.4739,3.36,2.37203
tonemaplightexposureadjust_time,2,2,2,2,2
tonemapminexposureadjust,-2.27591,-3.17591,-3.1699,-3.44,-2.27591
tonemapminexposureadjust_time,2,2,2,2,2
tonemapmaxexposureadjust,4.07876,4.07876,2.3219,3.36,4.07876
tonemapmaxexposureadjust_time,2,2,2,2,2
tonemapwhite,375.787,375.787,512,375.787,375.787
tonemapwhite_time,2,2,2,2,2
tonemapshoulder,0.977225,0.977225,0.92,0.977225,0.977225
tonemapshoulder_time,2,2,2,2,2
tonemapcrossover,0.52283,0.52283,2,0.52283,0.52283
tonemapcrossover_time,2,2,2,2,2
tonemaptoe,0.10004,0.10004,0,0.10004,0.10004
tonemaptoe_time,0,0,0,0,0
tonemapblack,0,0,0,0,0
tonemapblack_time,0,0,0,0,0
ssaostrength,0,0.45,1,0.45,0
ssaostrength_time,1,1,1,1,1
ssaopower,0,12,0.5,12,0
ssaopower_time,1,1,1,1,1
ssaominstrengthdepth,0,25,0,25,0
ssaominstrengthdepth_time,1,1,1,1,1
ssaomaxstrengthdepth,0,40,50,40,0
ssaomaxstrengthdepth_time,1,1,1,1,1
mdao,0,0,0,0,0
mdaooccluderculldistance,1000,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0
mdaocapsulestrength,1,1,1,1,1
mdaocapsulestrength_time,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0
