name,mp_liberty,mp_liberty_water,mp_liberty_osp,mp_liberty_drone,mp_liberty_warbird,mp_liberty_dark
sunenable,1,0,0,0,0,1
sunshadowscale,0.400138,1,0.6,1,1,1
sunshadowscale_time,0,1,0,1,1,0
spotlimit,2,4,4,4,4,4
qualityspotshadow,1,0,0,1,1,0
usedsuncascadecount,2,2,2,2,2,3
sunsamplesizenear,0.83023,0.5,0.569844,0.480203,0.480203,0.3
sunsamplesizenear_time,0,0,0,0,0,0
specularcolorscale,1,0.2,1,1,1,1
specularcolorscale_time,0,0,0,0,0,0
diffusecolorscale,1,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0,0
veil,1,1,1,1,1,1
veilstrength,0.087,3,0.087,0.087,0.087,0.087
veilstrength_time,0,1,2,2,2,0
veilbackgroundstrength,0.92,0.913,0.951673,0.878955,0.878955,0.92
veilbackgroundstrength_time,0,1.2,0,0,0,0
tonemap,2,2,2,2,2,2
tonemapauto,1,1,1,1,1,1
tonemapblend,1,1,1,1,1,1
tonemaplockautoexposureadjust,0,1,0,0,0,0
tonemapautoexposureadjust,-0.5,-2.16992,0.00191429,1,1,0
tonemapautoexposureadjust_time,0,0.2,0.2,1,1,0
tonemapexposure,-10,-10,-10,-10,-10,-10
tonemapexposure_time,0,2,0,0,0,0
tonemapexposureadjust,0.15,0,0,-0.3,-0.3,-0.0963343
tonemapexposureadjust_time,0.2,2,1,0,0,0.2
tonemapmaxexposure,10.3827,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,2,0,0,0,0
tonemapadaptspeed,0.04,0.02,0.100091,0.02,0.02,0.04
tonemapadaptspeed_time,0,2,0,0,0,0
tonemapdarkev,5.62076,6.1619,2.84641,6.63847,6.63847,5.62076
tonemapdarkev_time,0.2,2,1,0,0,0.2
tonemapmidev,9.48202,9.4839,8.02588,9.98969,9.98969,9.48202
tonemapmidev_time,0.2,2,1,0,0,0.2
tonemaplightev,12.5,12.8058,13.1955,12.1858,12.1858,12.5
tonemaplightev_time,0.2,2,1,0,0,0.2
tonemapdarkexposureadjust,-1.92562,-3.1699,-4.35,-4.1621,-4.1621,-1.92562
tonemapdarkexposureadjust_time,0.2,2,1,0,0,0.2
tonemapmidexposureadjust,-0.645935,-0.0651,-0.065697,-1.06137,-1.06137,-0.645935
tonemapmidexposureadjust_time,0.2,2,1,0,0,0.2
tonemaplightexposureadjust,0.901566,1.4739,1.77433,0.474137,0.474137,0.901566
tonemaplightexposureadjust_time,0.2,2,1,0,0,0.2
tonemapminexposureadjust,-3,-3.1699,-4.36869,-4.17186,-4.17186,-3
tonemapminexposureadjust_time,0.2,2,1,0,0,0.2
tonemapmaxexposureadjust,2.3,2.3219,2.45,0.54598,0.54598,2.3
tonemapmaxexposureadjust_time,0.2,2,1,0,0,0.2
