name,mp_lost,mp_lost_water
sunenable,1,1
sunshadowscale,0.4,0.4
sunshadowscale_time,0,1
spotlimit,2,2
qualityspotshadow,0,0
usedsuncascadecount,2,2
sunsamplesizenear,0.5,0.3
sunsamplesizenear_time,0,0
specularcolorscale,1,0.2
specularcolorscale_time,0,0
diffusecolorscale,1,1
diffusecolorscale_time,0,0
veil,0,0
veilstrength,0.04,3
veilstrength_time,0,1
veilbackgroundstrength,0.92,0.913
veilbackgroundstrength_time,0,1.2
tonemap,2,2
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,0,1
tonemapautoexposureadjust,0,-2.16992
tonemapautoexposureadjust_time,0,0.2
tonemapexposure,-10,-10
tonemapexposure_time,0,2
tonemapexposureadjust,-0.316744,0
tonemapexposureadjust_time,0.2,2
tonemapmaxexposure,-10,-10
tonemapmaxexposure_time,0,2
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,2
tonemapdarkev,7.7469,6.1619
tonemapdarkev_time,0,2
tonemapmidev,10.2764,9.4839
tonemapmidev_time,0,2
tonemaplightev,12.8058,12.8058
tonemaplightev_time,0,2
tonemapdarkexposureadjust,-3.1699,-3.1699
tonemapdarkexposureadjust_time,0,2
tonemapmidexposureadjust,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,2
tonemaplightexposureadjust,1.4739,1.4739
tonemaplightexposureadjust_time,0,2
tonemapminexposureadjust,-3.1699,-3.1699
tonemapminexposureadjust_time,0,2
tonemapmaxexposureadjust,2.3219,2.3219
tonemapmaxexposureadjust_time,0,2
