name,mp_lost,mp_lost_water,mp_lost_osp
sunenable,1,1,0
sunshadowscale,1,1,1
sunshadowscale_time,0,1,0
spotlimit,4,4,4
qualityspotshadow,0,0,0
usedsuncascadecount,3,2,3
sunsamplesizenear,0.3,0.5,0.3
sunsamplesizenear_time,0,0,0
sunfilterradius,4,2,4
sunfilterradius_time,0,0,0
spotfilterradius,4,2,4
spotfilterradius_time,0,0,0
specularcolorscale,1,0.2,1
specularcolorscale_time,0,0,0
diffusecolorscale,1,1,1
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.04,3,0.04
veilstrength_time,0,1,0
veilbackgroundstrength,0.92,0.913,0.92
veilbackgroundstrength_time,0,1.2,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,1,0
tonemapautoexposureadjust,0,-2.16992,0
tonemapautoexposureadjust_time,0,0.2,0
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,2,0
tonemapexposureadjust,-0.2,0,-0.2
tonemapexposureadjust_time,0.2,2,0.2
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,2,0
tonemapadaptspeed,0.04,0.02,0.04
tonemapadaptspeed_time,0,2,0
tonemapdarkev,5.62076,6.1619,5.62076
tonemapdarkev_time,0.2,2,0.2
tonemapmidev,9.48202,9.4839,9.48202
tonemapmidev_time,0.2,2,0.2
tonemaplightev,12.5,12.8058,12.5
tonemaplightev_time,0.2,2,0.2
tonemapdarkexposureadjust,-1.92562,-3.1699,-1.92562
tonemapdarkexposureadjust_time,0.2,2,0.2
tonemapmidexposureadjust,-0.645935,-0.0651,-0.645935
tonemapmidexposureadjust_time,0.2,2,0.2
tonemaplightexposureadjust,0.901566,1.4739,0.901566
tonemaplightexposureadjust_time,0.2,2,0.2
tonemapminexposureadjust,-3,-3.1699,-3
tonemapminexposureadjust_time,0.2,2,0.2
tonemapmaxexposureadjust,2.3,2.3219,2.3
tonemapmaxexposureadjust_time,0.2,2,0.2
tonemapwhite,512,512,512
tonemapwhite_time,0.2,2,0.2
tonemapshoulder,0.94,0.92,0.94
tonemapshoulder_time,0.2,2,0.2
tonemapcrossover,0,2,0
tonemapcrossover_time,0.2,2,0.2
tonemaptoe,0,0,0
tonemaptoe_time,0,0,0
tonemapblack,0,0,0
tonemapblack_time,0,0,0
aodiminish,1,1,1
aodiminish_time,0,1,0
ssaostrength,0.7,0.5,0
ssaostrength_time,0,1,0
ssaopower,3.1,0,0
ssaopower_time,0,1,0
ssaominstrengthdepth,0,50,0
ssaominstrengthdepth_time,0,1,0
ssaomaxstrengthdepth,30,0,30
ssaomaxstrengthdepth_time,0,1000,0
hemiaostrength,0.5,0,0.5
hemiaostrength_time,0,900,0
hemiaopower,1,0,1
hemiaopower_time,0,1,0
hemiaorejectionfalloff,0.5,0,0.5
hemiaorejectionfalloff_time,0,1,0
mdao,1,1,0
mdaooccluderculldistance,1000,1000,1000
mdaooccluderculldistance_time,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0
mdaocapsulestrength,1,1,1
mdaocapsulestrength_time,0,0,0
mdaovolumestrength,1,1,1
mdaovolumestrength_time,0,0,0
