name,mp_perplex_1,mp_perplex_1_water,mp_perplex_osp,mp_perplex_1_interior,mp_perplex_1_poolroom,mp_perplex_1_interior_2
sunenable,1,1,0,1,1,1
sunshadowscale,0.6,0.3,0.6,0.6,0.6,0.6
sunshadowscale_time,0,0,0,0,0,0
spotlimit,3,3,4,3,3,3
qualityspotshadow,0,0,1,1,1,1
usedsuncascadecount,3,2,2,3,3,3
sunsamplesizenear,0.55,0.2,0.88,0.55,0.55,0.55
sunsamplesizenear_time,0,0,0,0,0,0
sunfilterradius,2,2,2,2,2,2
sunfilterradius_time,0,0,0,0,0,0
spotfilterradius,1,2,4,1,1,1
spotfilterradius_time,0,0,0,0,0,0
specularcolorscale,1,1.5,1,1,1,1
specularcolorscale_time,0,0,0,0,0,0
diffusecolorscale,1,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0,0
veil,1,1,1,1,1,1
veilstrength,0.0112568,0.15,0.01,0.015437,0.0347484,0.0560501
veilstrength_time,0.5,0.1,1,0.5,0.5,0.5
veilbackgroundstrength,0.975316,0.913,0.9,0.910825,0.960597,0.943935
veilbackgroundstrength_time,0.5,0,0,0.5,0.5,0.5
tonemap,2,2,2,2,2,2
tonemapauto,1,0,1,1,1,1
tonemapblend,1,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust_time,0,0.1,1,0,0,0
tonemapexposure,-10,32,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0,0,0
tonemapexposureadjust,0,0,-0.5,0,0,0
tonemapexposureadjust_time,0.5,0,0.5,0.5,0.5,0.5
tonemapmaxexposure,-10,-9.75,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,2,0,0,0
tonemapadaptspeed,0.02,0.5,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0.5,0.5,2,0.5,0.5,0.5
tonemapdarkev,8.69145,6.7469,9.3282,2.29971,8.95977,8.53491
tonemapdarkev_time,0.5,0,2,0.5,0.5,0.5
tonemapmidev,10.5627,7.1437,11.7674,9.83964,10.8636,10.4763
tonemapmidev_time,0.5,0,2,0.5,0.5,0.5
tonemaplightev,13.987,7.5404,15.4344,12.3126,13.6482,13.9572
tonemaplightev_time,0.5,0,2,0.5,0.5,0.5
tonemapdarkexposureadjust,-1.65048,-1.848,-2.22072,-3.14397,-1.60791,-2.99397
tonemapdarkexposureadjust_time,0.5,0,2,0.5,0.5,0.5
tonemapmidexposureadjust,0.00231805,-1.6531,-1.35116,-0.0869257,-0.00272563,-0.00928226
tonemapmidexposureadjust_time,0.5,0,2,0.5,0.5,0.5
tonemaplightexposureadjust,1.70102,-1.4695,2.37203,1.70477,2.14492,2.00477
tonemaplightexposureadjust_time,0.5,0,2,0.5,0.5,0.5
tonemapminexposureadjust,-1.66212,-3.1699,-2.27591,-3.16212,-3.09682,-3.16212
tonemapminexposureadjust_time,0,0,2,0.5,0.5,0.5
tonemapmaxexposureadjust,1.85285,2.3219,4.07876,1.75427,2.23333,2.35427
tonemapmaxexposureadjust_time,0,0,2,0.5,0.5,0.5
tonemapwhite,530.396,512,375.787,512,512,512
tonemapwhite_time,0,0.1,2,0.5,0.5,0.5
tonemapshoulder,0.940114,0.94,0.977225,0.94,0.948416,0.94
tonemapshoulder_time,0.5,0,2,0.5,0.5,0.5
tonemapcrossover,1.9039,0.1,0.52283,1.92006,2.02827,1.92006
tonemapcrossover_time,0.5,0,2,0.5,0.5,0.5
tonemaptoe,0,0,0.10004,0,0,0
tonemaptoe_time,0,0,0,0,0,0
tonemapblack,0,0,0,0,0,0
tonemapblack_time,0,0,0,0,0,0
aodiminish,0.25,1,0.25,0.25,0.25,0.25
aodiminish_time,0,0,0,0,0,0
ssaostrength,1.6,0.6,0,1.42577,1.6,1.42577
ssaostrength_time,0.5,0,0.5,0.5,0.5,0.5
ssaopower,1.98292,12,0,2.43336,1.98292,2.43336
ssaopower_time,0.5,0,0.5,0.5,0.5,0.5
ssaominstrengthdepth,1,25,1,1,1,1
ssaominstrengthdepth_time,0.5,0,1,0.5,0.5,0.5
ssaomaxstrengthdepth,40,40,0,40,40,40
ssaomaxstrengthdepth_time,0.5,0,1,0.5,0.5,0.5
hemiaostrength,0.494969,0,1,0,0,0
hemiaostrength_time,1000,1000,1000,1000,1000,1000
hemiaopower,0,0,0,0,0,0
hemiaopower_time,900,900,900,900,900,900
hemiaorejectionfalloff,0.5,0.5,0,0.5,0.5,0.5
hemiaorejectionfalloff_time,0.4,1,0.4,0.4,0.4,0.4
mdao,1,0,0,1,1,1
mdaooccluderculldistance,1,1,1,1,1,1
mdaooccluderculldistance_time,0,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,1,0.25,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0.3,0,0,0,0
mdaocapsulestrength,1,1,1.5625,1,1,1
mdaocapsulestrength_time,1,3,1,1,1,1
mdaovolumestrength,1,0,1.75,1,1,1
mdaovolumestrength_time,1,2,1,1,1,1
