name,mp_prison,mp_prison_interior,mp_prison_drone
sunenable,1,1,1
sunshadowscale,1,1,1
sunshadowscale_time,1,1,1
spotlimit,4,4,4
qualityspotshadow,0,0,0
usedsuncascadecount,2,2,2
sunsamplesizenear,0.65,0.5,0.37
sunsamplesizenear_time,0,0,0
sunfilterradius,4,4,4
sunfilterradius_time,0,0,0
spotfilterradius,2,2,2
spotfilterradius_time,0,0,0
specularcolorscale,2,2,2
specularcolorscale_time,0,0,0
diffusecolorscale,1,1,1
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.08,0.00714072,0.08
veilstrength_time,1,1,1
veilbackgroundstrength,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,0,0
tonemapautoexposureadjust,0,0,0
tonemapautoexposureadjust_time,1,1,1
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,0,0
tonemapexposureadjust,1.25,1.25033,1.25
tonemapexposureadjust_time,0,0,0
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,0,0
tonemapadaptspeed,0.02,0.02,0.02
tonemapadaptspeed_time,0.001,0.001,0.001
tonemapdarkev,7.67924,-1.02771,7.67924
tonemapdarkev_time,1,1,1
tonemapmidev,8.93508,9.30014,8.93508
tonemapmidev_time,0,0,0
tonemaplightev,11.6561,15.0198,11.6561
tonemaplightev_time,1,1,1
tonemapdarkexposureadjust,-1.38609,-4.50519,-1.88901
tonemapdarkexposureadjust_time,1,1,1
tonemapmidexposureadjust,-0.544651,-1.50123,-1.02326
tonemapmidexposureadjust_time,0,0,0
tonemaplightexposureadjust,1.38188,0.504534,0.886126
tonemaplightexposureadjust_time,1,1,1
tonemapminexposureadjust,-1.88901,-5.58966,-1.88901
tonemapminexposureadjust_time,1,1,1
tonemapmaxexposureadjust,1.69818,2.00986,1.69818
tonemapmaxexposureadjust_time,1,1,1
tonemapwhite,1024,513.7,1024
tonemapwhite_time,2,2,2
tonemapshoulder,0.94,0.949999,0.94
tonemapshoulder_time,0,0,0
tonemapcrossover,2,2,2
tonemapcrossover_time,0,0,0
tonemaptoe,0,0,0
tonemaptoe_time,0,0,0
tonemapblack,0,0,0
tonemapblack_time,0,0,0
aodiminish,1,1,1
aodiminish_time,0,0,0
ssaostrength,0.6125,0.6125,0.6125
ssaostrength_time,0,0,0
ssaopower,12,12,12
ssaopower_time,0,0,0
ssaominstrengthdepth,25,25,25
ssaominstrengthdepth_time,0,0,0
ssaomaxstrengthdepth,45,45,45
ssaomaxstrengthdepth_time,0,0,0
mdao,0,0,0
mdaooccluderculldistance,1000,1000,1000
mdaooccluderculldistance_time,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0
mdaocapsulestrength,1,1,1
mdaocapsulestrength_time,0,0,0
mdaovolumestrength,1,1,1
mdaovolumestrength_time,0,0,0
