name,mp_recovery,mp_recovery_b,mp_recovery_interior,mp_recovery_cave
sunenable,1,1,1,1
sunshadowscale,0.7,0.5,0.7,0.7
sunshadowscale_time,0,0,0,0
spotlimit,4,2,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.35,0.3,0.3,0.4
sunsamplesizenear_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.025,0.02,0.0638461,0.02
veilstrength_time,0.2,0.2,0.2,0.2
veilbackgroundstrength,0.95,0.913,1.08015,0.913
veilbackgroundstrength_time,0.2,0.2,0.2,0.2
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,-0.448447,-0.4,-0.6,-0.3
tonemapexposureadjust_time,0.2,0.2,0.2,0.2
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.04,0.04,0.04,0.04
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,-1,-1,6.0146,-0.6
tonemapdarkev_time,0.2,0.2,0.2,0.2
tonemapmidev,11.4103,11.4103,12.9936,4.42
tonemapmidev_time,0.2,0.2,0.2,0.2
tonemaplightev,16.2398,16.2398,16.6938,12.3
tonemaplightev_time,0.2,0.2,0.2,0.2
tonemapdarkexposureadjust,-3,-3,-3,-6
tonemapdarkexposureadjust_time,0.2,0.2,0.2,0.2
tonemapmidexposureadjust,0,0,0.3,-3.75
tonemapmidexposureadjust_time,0.2,0.2,0.2,0.2
tonemaplightexposureadjust,1.56,1.56,2.14998,0.6
tonemaplightexposureadjust_time,0.2,0.2,0.2,0.2
tonemapminexposureadjust,-3,-3,-3,-6
tonemapminexposureadjust_time,0.2,0.2,0.2,0.2
tonemapmaxexposureadjust,2,2,2.6,2
tonemapmaxexposureadjust_time,0.2,0.2,0.2,0.6
tonemapwhite,512,544,512,544
tonemapwhite_time,0.2,0.2,0.2,0.2
tonemapshoulder,0.95,0.95,0.95,0.95
tonemapshoulder_time,0.2,0.2,0.2,0.2
tonemapcrossover,0,0,2,1
tonemapcrossover_time,0,0,0,0
tonemaptoe,0,0,0,0
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
