name,mp_recovery,mp_recovery_b,mp_recovery_interior,mp_recovery_cave,mp_recovery_interior_b,mp_recovery_osp
sunenable,1,1,1,1,1,1
sunshadowscale,1,1,1,1,1,1
sunshadowscale_time,0,0,0,0,0,0
spotlimit,4,4,4,4,4,4
qualityspotshadow,0,0,0,1,1,1
usedsuncascadecount,2,2,2,2,2,2
sunsamplesizenear,0.4,0.56,0.4,0.4,0.4,0.4
sunsamplesizenear_time,0,0,0,0,0,0
sunfilterradius,2,4,2,2,2,2
sunfilterradius_time,0,0,0,0,0,0
spotfilterradius,2,2,2,2,2,2
spotfilterradius_time,0,0,0,0,0,0
specularcolorscale,1,1,1,1,1,1
specularcolorscale_time,0,0,0,0,0,0
diffusecolorscale,1,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0,0
veil,1,1,1,1,1,1
veilstrength,0.025,0.02,0.0638461,0.02,0.0638461,0.025
veilstrength_time,0.2,0.2,0.2,0.2,0.2,0.2
veilbackgroundstrength,0.95,0.913,1.08015,0.913,0.913,0.95
veilbackgroundstrength_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemap,2,2,2,2,2,2
tonemapauto,1,1,1,1,1,1
tonemapblend,1,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0,0,0
tonemapexposure,-10,-10,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0,0
tonemapexposureadjust_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapmaxexposure,-10,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0,0
tonemapadaptspeed,0.04,0.04,0.04,0.04,0.04,0.04
tonemapadaptspeed_time,0,0,0,0,0,0
tonemapdarkev,-1,4,6.0146,-0.6,8,-1
tonemapdarkev_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapmidev,12.187,11.7,11.7,4.42,11.4,12.187
tonemapmidev_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemaplightev,16.6295,16.6295,16.6938,12.3,15.2,16.6295
tonemaplightev_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapdarkexposureadjust,-3,-3,-3,-6,-3,-3
tonemapdarkexposureadjust_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapmidexposureadjust,0.45,0,0.3,-3.75,0.45,0.45
tonemapmidexposureadjust_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemaplightexposureadjust,2,1.56,2.14998,0.6,2.5,2
tonemaplightexposureadjust_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapminexposureadjust,-3,-3,-3,-6,-3,-3
tonemapminexposureadjust_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapmaxexposureadjust,2,2,2.6,2,2.6,2
tonemapmaxexposureadjust_time,0.2,0.2,0.2,0.6,0.2,0.2
tonemapwhite,512,544,544,544,512,512
tonemapwhite_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapshoulder,0.95,0.95,0.94,0.95,0.94,0.95
tonemapshoulder_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemapcrossover,0,0,2,1,2,0
tonemapcrossover_time,0.2,0.2,0.2,0.2,0.2,0.2
tonemaptoe,0,0,0,0,0,0
tonemaptoe_time,0,0,0,0,0,0
tonemapblack,0,0,0,0,0,0
tonemapblack_time,0,0,0,0,0,0
aodiminish,1,1,1,1,1,1
aodiminish_time,0,0,0,0,0,0
ssaostrength,2,2,2,2,2,0
ssaostrength_time,0,0,0,0,0,0
ssaopower,3.3,3.3,3.3,3.3,3.3,0
ssaopower_time,0,0,0,0,0,0
ssaominstrengthdepth,0,0,0,0,0,0
ssaominstrengthdepth_time,0,0,0,0,0,0
ssaomaxstrengthdepth,30,30,30,30,30,30
ssaomaxstrengthdepth_time,0,0,0,0,0,0
mdao,1,1,1,1,1,0
mdaooccluderculldistance,2100,2100,2100,2100,2100,2100
mdaooccluderculldistance_time,0,0,0,0,0,0
mdaooccluderfadeoutstartdistance,2000,2000,2000,2000,2000,2000
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0,0
mdaocapsulestrength,0.2,0.2,0.2,0.2,0.2,0.2
mdaocapsulestrength_time,0,0,0,0,0,0
mdaovolumestrength,0.2,0.2,0.2,0.2,0.2,0.2
mdaovolumestrength_time,0,0,0,0,0,0
