name,mp_refraction,mp_refraction_elevator
sunenable,1,1
sunshadowscale,0.4,0.3
sunshadowscale_time,0,0
spotlimit,1,1
qualityspotshadow,1,1
usedsuncascadecount,2,2
sunsamplesizenear,0.15,0.1
sunsamplesizenear_time,0,0
specularcolorscale,7.84633,1.5
specularcolorscale_time,0,0
diffusecolorscale,1.0236,1
diffusecolorscale_time,0,0
veil,0,0
veilstrength,0.087,0.087
veilstrength_time,0,0
veilbackgroundstrength,0.913,0.913
veilbackgroundstrength_time,0,0
tonemap,1,1
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,1,1
tonemapautoexposureadjust,0,0
tonemapautoexposureadjust_time,0,0
tonemapexposure,-10,-10
tonemapexposure_time,0,0
tonemapexposureadjust,-2.29242,-2.26191
tonemapexposureadjust_time,0,0
tonemapmaxexposure,12.62,9.09
tonemapmaxexposure_time,0,0
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,0
tonemapdarkev,6.1619,6.1619
tonemapdarkev_time,0,0
tonemapmidev,9.4839,9.4839
tonemapmidev_time,0,0
tonemaplightev,12.8058,12.8058
tonemaplightev_time,0,0
tonemapdarkexposureadjust,-3.1699,-3.1699
tonemapdarkexposureadjust_time,0,0
tonemapmidexposureadjust,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,0
tonemaplightexposureadjust,1.4739,1.4739
tonemaplightexposureadjust_time,0,0
tonemapminexposureadjust,-3.1699,-3.1699
tonemapminexposureadjust_time,0,0
tonemapmaxexposureadjust,2.3219,2.3219
tonemapmaxexposureadjust_time,0,0
