name,mp_refraction,mp_refraction_elevator,mp_refraction_water,mp_refraction_osp
sunenable,1,1,1,1
sunshadowscale,0.5,0.3,0.3,.25
sunshadowscale_time,1,1,1,1
spotlimit,4,4,3,1
qualityspotshadow,0,0,0,0
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.2,0.2,0.2,0.2
sunsamplesizenear_time,0,0,0,0
sunfilterradius,4,4,2,2
sunfilterradius_time,0,0,0,0
spotfilterradius,2,2,2,2
spotfilterradius_time,0,0,0,0
specularcolorscale,1.5,1.5,1.5,1.5
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.15,0.15,0.15,0.15
veilstrength_time,1,1,1,1
veilbackgroundstrength,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,0,0,-20,0
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,6.7469,6.7469,6.7469,6.7469
tonemapdarkev_time,0,0,0,0
tonemapmidev,8.28885,7.1437,7.1437,8.28885
tonemapmidev_time,0,0,0,0
tonemaplightev,8.9848,7.5404,7.5404,8.9848
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-1.848,-1.848,-1.848,-1.848
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-1.45874,-1.6531,-1.6531,-1.45874
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,-0.128523,-1.4695,-1.4695,-0.128523
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-1.9699,-3.1699,-3.1699,-1.9699
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,-0.128523,2.3219,2.3219,-0.128523
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,512,512,512,512
tonemapwhite_time,2,2,2,2
tonemapshoulder,0.957298,0.94,0.94,0.957298
tonemapshoulder_time,0,0,0,0
tonemapcrossover,1.98176,2,2,1.98176
tonemapcrossover_time,0,0,0,0
tonemaptoe,0,0,0,0
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
aodiminish,1,1,1,0
aodiminish_time,0,0,0,0
ssaostrength,0.6,0.6,0.6,0
ssaostrength_time,0,0,0,0
ssaopower,12,12,12,0
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,0
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,0
ssaomaxstrengthdepth_time,0,0,0,0
mdao,0,0,0,0
mdaooccluderculldistance,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,1,1,1,1
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,1,1,1,1
mdaovolumestrength_time,0,0,0,0
