name,mp_seoul2,mp_seoul2_osp
sunenable,1,1
sunshadowscale,0.586036,0.5
sunshadowscale_time,0,0
spotlimit,4,1
qualityspotshadow,1,1
usedsuncascadecount,2,2
sunsamplesizenear,0.493137,0.15
sunsamplesizenear_time,0,0
specularcolorscale,1,1
specularcolorscale_time,0,0
diffusecolorscale,1,1
diffusecolorscale_time,0,0
veil,1,1
veilstrength,0.0462191,0.0462191
veilstrength_time,0,0
veilbackgroundstrength,0.788,0.788
veilbackgroundstrength_time,0,0
tonemap,2,2
tonemapauto,1,1
tonemapblend,1,1
tonemaplockautoexposureadjust,0,0
tonemapautoexposureadjust,0,0
tonemapautoexposureadjust_time,0,0
tonemapexposure,-10,-10
tonemapexposure_time,0,0
tonemapexposureadjust,-0.00272228,-0.00272228
tonemapexposureadjust_time,0,0
tonemapmaxexposure,11.339,-10
tonemapmaxexposure_time,0,0
tonemapadaptspeed,0.02,0.02
tonemapadaptspeed_time,0,0
tonemapdarkev,3.26047,3.26047
tonemapdarkev_time,0,0
tonemapmidev,11.4433,11.4433
tonemapmidev_time,0,0
tonemaplightev,20.8924,20.8924
tonemaplightev_time,0,0
tonemapdarkexposureadjust,-2.31503,-2.31503
tonemapdarkexposureadjust_time,0,0
tonemapmidexposureadjust,-0.40978,-0.40978
tonemapmidexposureadjust_time,0,0
tonemaplightexposureadjust,0.22614,0.22614
tonemaplightexposureadjust_time,0,0
tonemapminexposureadjust,-2.8699,-2.8699
tonemapminexposureadjust_time,0,0
tonemapmaxexposureadjust,0.971899,0.971899
tonemapmaxexposureadjust_time,0,0
