name,mp_solar
sunenable,1
sunshadowscale,0.5
sunshadowscale_time,0
spotlimit,0
qualityspotshadow,1
usedsuncascadecount,2
sunsamplesizenear,0.3
sunsamplesizenear_time,0
specularcolorscale,1
specularcolorscale_time,0
diffusecolorscale,1
diffusecolorscale_time,0
veil,1
veilstrength,0.0731062
veilstrength_time,0
veilbackgroundstrength,1.14734
veilbackgroundstrength_time,0
tonemap,2
tonemapauto,1
tonemapblend,1
tonemaplockautoexposureadjust,0
tonemapautoexposureadjust,0
tonemapautoexposureadjust_time,0
tonemapexposure,-10
tonemapexposure_time,0
tonemapexposureadjust,-1.00413
tonemapexposureadjust_time,0
tonemapmaxexposure,12.41
tonemapmaxexposure_time,0
tonemapadaptspeed,0.02
tonemapadaptspeed_time,0
tonemapdarkev,7.7469
tonemapdarkev_time,0
tonemapmidev,10.2764
tonemapmidev_time,0
tonemaplightev,12.8058
tonemaplightev_time,0
tonemapdarkexposureadjust,-3.1699
tonemapdarkexposureadjust_time,0
tonemapmidexposureadjust,-0.0651
tonemapmidexposureadjust_time,0
tonemaplightexposureadjust,1.4739
tonemaplightexposureadjust_time,0
tonemapminexposureadjust,-3.1699
tonemapminexposureadjust_time,0
tonemapmaxexposureadjust,2.3219
tonemapmaxexposureadjust_time,0
tonemapwhite,512
tonemapwhite_time,0
tonemapshoulder,0.94
tonemapshoulder_time,0
tonemapcrossover,0
tonemapcrossover_time,0
tonemaptoe,0.2
tonemaptoe_time,0
tonemapblack,0
tonemapblack_time,0
