name,mp_solar,mp_solar_drone,mp_solar_warbird,mp_solar_osp
sunenable,1,1,1,1
sunshadowscale,1,1,1,1
sunshadowscale_time,0,0,0,0
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0
sunfilterradius,2,2,2,2
sunfilterradius_time,0,0,0,0
spotfilterradius,2,2,2,2
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.0731062,0.0731062,0.0731062,0.0731062
veilstrength_time,0,0,0,0
veilbackgroundstrength,1.14734,1.14734,1.14734,1.14734
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,0,0,0,0
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,3.09523,3.09523,3.09523,3.09523
tonemapdarkev_time,0,0,0,0
tonemapmidev,8.96725,8.96725,8.96725,8.96725
tonemapmidev_time,0,0,0,0
tonemaplightev,15.3238,15.3238,15.3238,15.3238
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-3.09351,-3.09351,-3.09351,-3.09351
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-0.274718,-0.274718,-0.274718,-0.274718
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,2.8219,2.8219,2.8219,2.8219
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-3.59383,-3.59383,-3.59383,-3.59383
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,3.0719,3.0719,3.0719,3.0719
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,1024,1024,1024,1024
tonemapwhite_time,0,0,0,0
tonemapshoulder,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,0,0,0
tonemapcrossover,10.0103,10.0103,10.0103,10.0103
tonemapcrossover_time,0,0,0,0
tonemaptoe,0.109989,0.109989,0.109989,0.109989
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
ssaostrength,0.4,0.4,0.4,0.4
ssaostrength_time,0,0,0,0
ssaopower,10.25,10.25,10.25,10.25
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
mdao,1,1,1,1
mdaooccluderculldistance,1384,1384,1384,1384
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,772,772,772,772
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,1,1,1,1
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,1,1,1,1
mdaovolumestrength_time,0,0,0,0
