name,mp_spark,mp_spark_osp,mp_spark_drone,mp_spark_warbird,mp_spark_dna,mp_spark_uplink_inview,mp_spark_02
sunenable,1,0,0,0,0,0,1
sunshadowscale,0.4,1,1,1,1,1,0.361375
sunshadowscale_time,1,1,1,1,1,1,1
spotlimit,2,4,4,4,4,4,2
qualityspotshadow,0,1,1,1,1,1,0
usedsuncascadecount,2,2,2,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25,0.25,0.25,0.38
sunsamplesizenear_time,0,0,0,0,0,0,0
specularcolorscale,1,2,2,2,2,2,1
specularcolorscale_time,0,0,0,0,0,0,0
diffusecolorscale,1,2,2,2,2,2,1
diffusecolorscale_time,0,0,0,0,0,0,0
veil,1,1,1,1,1,1,1
veilstrength,0.0437899,0,0,0,0,0,0.0437899
veilstrength_time,2,1,1,1,1,1,2
veilbackgroundstrength,0.913,0,0,0,0,0,0.913
veilbackgroundstrength_time,0,1,1,1,1,1,0
tonemap,2,0,0,0,0,0,2
tonemapauto,1,1,1,1,1,1,1
tonemapblend,1,0,0,0,0,0,1
tonemaplockautoexposureadjust,0,0,0,0,0,0,0
tonemapautoexposureadjust,0,2,2,2,2,2,0
tonemapautoexposureadjust_time,1,1,1,1,1,1,1
tonemapexposure,-10,1,1,1,1,1,-10
tonemapexposure_time,0,0,0,0,0,0,0
tonemapexposureadjust,-0.447333,0,0,0,0,0,-0.447333
tonemapexposureadjust_time,0,1,1,1,1,1,0
tonemapmaxexposure,-10,-10,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0,0,0
tonemapadaptspeed,0.02,0,0,0,0,0,0.02
tonemapadaptspeed_time,0,0,0,0,0,0,0
tonemapdarkev,-1.74508,-10,-10,-10,-10,-10,-1.74508
tonemapdarkev_time,0,0,0,0,0,0,0
tonemapmidev,7.25181,0.02,0.02,0.02,0.02,0.02,7.25181
tonemapmidev_time,0,0,0,0,0,0,0
tonemaplightev,16.7217,-1.74508,-1.74508,-1.74508,-1.74508,-1.74508,16.7217
tonemaplightev_time,0,0,0,0,0,0,0
tonemapdarkexposureadjust,-6.9956,7.25181,7.25181,7.25181,7.25181,7.25181,-6.9956
tonemapdarkexposureadjust_time,0,0,0,0,0,0,0
tonemapmidexposureadjust,-1.09654,16.7217,16.7217,16.7217,16.7217,16.7217,-1.09654
tonemapmidexposureadjust_time,0,0,0,0,0,0,0
tonemaplightexposureadjust,6.90417,-6.9956,-6.9956,-6.9956,-6.9956,-6.9956,6.90417
tonemaplightexposureadjust_time,0,0,0,0,0,0,0
tonemapminexposureadjust,-6.9956,-1.09654,-1.09654,-1.09654,-1.09654,-1.09654,-6.9956
tonemapminexposureadjust_time,0,0,0,0,0,0,0
tonemapmaxexposureadjust,7.43717,6.90417,6.90417,6.90417,6.90417,6.90417,7.43717
tonemapmaxexposureadjust_time,0,0,0,0,0,0,0
