name,mp_spark,mp_spark_osp,mp_spark_drone,mp_spark_warbird,mp_spark_dna,mp_spark_uplink_inview
sunenable,0,0,0,0,0,0
sunshadowscale,1,1,1,1,1,1
sunshadowscale_time,1,1,1,1,1,1
spotlimit,4,4,4,4,4,4
qualityspotshadow,1,1,1,1,1,1
usedsuncascadecount,2,2,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0,0,0
sunfilterradius,2,2,2,2,2,2
sunfilterradius_time,0,0,0,0,0,0
spotfilterradius,2,2,2,2,2,2
spotfilterradius_time,0,0,0,0,0,0
specularcolorscale,1,1,1,1,1,1
specularcolorscale_time,0,0,0,0,0,0
diffusecolorscale,1,1,1,1,1,1
diffusecolorscale_time,0,0,0,0,0,0
veil,1,1,1,1,1,1
veilstrength,0.0437899,0.0437899,0.0437899,0.0437899,0.0437899,0.00723326
veilstrength_time,2,2,2,2,2,2
veilbackgroundstrength,0.913,0.913,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0,0,0
tonemap,2,2,2,2,2,2
tonemapauto,1,1,1,1,1,1
tonemapblend,1,1,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust,0,0,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1,1,1
tonemapexposure,-10,-10,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0,0,0
tonemapexposureadjust,0,0,0,0,0,0
tonemapexposureadjust_time,0,0,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0,0,0
tonemapdarkev,-1.74508,-1.74508,-1.74508,-1.74508,-1.74508,-1.74508
tonemapdarkev_time,0,0,0,0,0,0
tonemapmidev,7.25181,7.25181,7.25181,7.25181,7.25181,7.25181
tonemapmidev_time,0,0,0,0,0,0
tonemaplightev,16.7217,16.7217,16.7217,16.7217,16.7217,16.7217
tonemaplightev_time,0,0,0,0,0,0
tonemapdarkexposureadjust,-6.9956,-6.9956,-6.9956,-6.9956,-6.9956,-6.9956
tonemapdarkexposureadjust_time,0,0,0,0,0,0
tonemapmidexposureadjust,-1.09654,-1.09654,-1.09654,-1.09654,-1.09654,-1.09654
tonemapmidexposureadjust_time,0,0,0,0,0,0
tonemaplightexposureadjust,6.90417,6.90417,6.90417,6.90417,6.90417,6.90417
tonemaplightexposureadjust_time,0,0,0,0,0,0
tonemapminexposureadjust,-6.9956,-6.9956,-6.9956,-6.9956,-6.9956,-6.9956
tonemapminexposureadjust_time,0,0,0,0,0,0
tonemapmaxexposureadjust,7.43717,7.43717,7.43717,7.43717,7.43717,7.43717
tonemapmaxexposureadjust_time,0,0,0,0,0,0
tonemapwhite,1024,1024,1024,1024,1024,1024
tonemapwhite_time,2,2,2,2,2,2
tonemapshoulder,0.93141,0.93141,0.93141,0.93141,0.93141,0.93141
tonemapshoulder_time,0,0,0,0,0,0
tonemapcrossover,0.982318,0.982318,0.982318,0.982318,0.982318,0.982318
tonemapcrossover_time,0,0,0,0,0,0
tonemaptoe,0.319968,0.319968,0.319968,0.319968,0.319968,0.319968
tonemaptoe_time,0,0,0,0,0,0
tonemapblack,0,0,0,0,0,0
tonemapblack_time,0,0,0,0,0,0
aodiminish,1,1,1,1,1,1
aodiminish_time,0,0,0,0,0,0
ssaostrength,1.2,1.2,1.2,1.2,1.2,1.2
ssaostrength_time,0,0,0,0,0,0
ssaopower,1.5,1.5,1.5,1.5,1.5,7
ssaopower_time,0,0,0,0,0,0
ssaominstrengthdepth,25,25,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0,0,0
hemiaostrength,0,0,0,0,0,0
hemiaostrength_time,0,0,0,0,0,0
hemiaopower,0,0,0,0,0,0
hemiaopower_time,0,0,0,0,0,0
hemiaorejectionfalloff,0.1,0.1,0.1,0.1,0.1,0.1
hemiaorejectionfalloff_time,0,0,0,0,0,0
mdao,1,1,1,1,1,1
mdaooccluderculldistance,1793,1793,1793,1793,1793,1793
mdaooccluderculldistance_time,0,0,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0,0,0
mdaocapsulestrength,1,1,1,1,1,1
mdaocapsulestrength_time,0,0,0,0,0,0
mdaovolumestrength,1,1,1,1,1,1
mdaovolumestrength_time,0,0,0,0,0,0
