name,mp_terrace,mp_terrace_interior_01,mp_terrace_exterior_02
sunenable,1,1,1
sunshadowscale,0.4,0.4,0.4
sunshadowscale_time,1,1,1
spotlimit,1,1,1
qualityspotshadow,0,0,0
usedsuncascadecount,2,2,2
sunsamplesizenear,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0
specularcolorscale,2.5,2.5,2.5
specularcolorscale_time,0,0,0
diffusecolorscale,1.5,1.5,1.5
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.101043,0.101043,0.101043
veilstrength_time,2,2,2
veilbackgroundstrength,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,0,0
tonemapautoexposureadjust,0,0,0
tonemapautoexposureadjust_time,1,1,1
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,0,0
tonemapexposureadjust,-2.01884,-1,-1
tonemapexposureadjust_time,0.7,0.7,0.7
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,0,0
tonemapadaptspeed,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0
tonemapdarkev,4.4,4.4,4.4
tonemapdarkev_time,0,0,0
tonemapmidev,8.6,8.6,8.6
tonemapmidev_time,0,0,0
tonemaplightev,15.94,15.94,15.94
tonemaplightev_time,0,0,0
tonemapdarkexposureadjust,-4.24,-4.24,-4.24
tonemapdarkexposureadjust_time,0,0,0
tonemapmidexposureadjust,0.36,0.36,0.36
tonemapmidexposureadjust_time,0,0,0
tonemaplightexposureadjust,3.12,3.12,3.12
tonemaplightexposureadjust_time,0,0,0
tonemapminexposureadjust,-4.75,-4.75,-4.75
tonemapminexposureadjust_time,0,0,0
tonemapmaxexposureadjust,4.12,4.12,4.12
tonemapmaxexposureadjust_time,0,0,0
tonemapwhite,1024,1024,1024
tonemapwhite_time,2,2,2
tonemapshoulder,0.914,0.914,0.914
tonemapshoulder_time,0,0,0
tonemapcrossover,2.15,2.15,2.15
tonemapcrossover_time,0,0,0
tonemaptoe,0.03,0.03,0.03
tonemaptoe_time,0,0,0
tonemapblack,0,0,0
tonemapblack_time,0,0,0
