name,mp_terrace,mp_terrace_warbird,mp_terrace_osp,mp_terrace_drone
sunenable,0,0,0,0
sunshadowscale,1,1,1,1
sunshadowscale_time,1,1,1,1
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0
sunfilterradius,2,2,2,2
sunfilterradius_time,0,0,0,0
spotfilterradius,2,2,2,2
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.0171188,0.0171188,0.0171188,0.0171188
veilstrength_time,2,2,2,2
veilbackgroundstrength,0.913,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,1,1,1
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,0,0,0,0
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,4.40037,4.40037,4.40037,4.40037
tonemapdarkev_time,0,0,0,0
tonemapmidev,8.62833,8.62833,8.62833,8.62833
tonemapmidev_time,0,0,0,0
tonemaplightev,15.9388,15.9388,15.9388,15.9388
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-4.2456,-4.2456,-4.2456,-4.2456
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,0.36236,0.36236,0.36236,0.36236
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,3.1219,3.1219,3.1219,3.1219
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-4.74564,-4.74564,-4.74564,-4.74564
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,4.1219,4.1219,4.1219,4.1219
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,1024.04,1024.04,1024.04,1024.04
tonemapwhite_time,2,2,2,2
tonemapshoulder,0.91474,0.91474,0.91474,0.91474
tonemapshoulder_time,0,0,0,0
tonemapcrossover,2.15059,2.15059,2.15059,2.15059
tonemapcrossover_time,0,0,0,0
tonemaptoe,0.029997,0.029997,0.029997,0.029997
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
aodiminish,1,1,1,1
aodiminish_time,0,0,0,0
ssaostrength,1.0747,1.0747,1.0747,1.0747
ssaostrength_time,0,0,0,0
ssaopower,6.625,12.25,12.25,12.25
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
mdao,1,1,1,1
mdaooccluderculldistance,1793,1793,1793,1793
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,385,385,385,385
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,0.35156,0.35156,0.35156,0.35156
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,0.257812,0.257812,0.257812,0.257812
mdaovolumestrength_time,0,0,0,0
