name,mp_torqued,mp_torqued_interior,mp_torqued_water
sunenable,1,1,1
sunshadowscale,0.6,0.6,0.6
sunshadowscale_time,0,0,0
spotlimit,2,2,2
qualityspotshadow,1,1,1
usedsuncascadecount,2,2,2
sunsamplesizenear,0.569844,0.569844,0.569844
sunsamplesizenear_time,0,0,0
specularcolorscale,1,1,1
specularcolorscale_time,0,0,0
diffusecolorscale,1,1,1
diffusecolorscale_time,0,0,0
veil,0,0,0
veilstrength,0,0,0
veilstrength_time,2,2,2
veilbackgroundstrength,0.951673,0.951673,0.951673
veilbackgroundstrength_time,0,0,0
tonemap,2,2,2
tonemapauto,1,1,1
tonemapblend,1,1,1
tonemaplockautoexposureadjust,0,0,0
tonemapautoexposureadjust,-10,-10,-10
tonemapautoexposureadjust_time,0.2,0.2,0.2
tonemapexposure,-10,-10,-10
tonemapexposure_time,0,0,0
tonemapexposureadjust,-0.752064,-2.1,-2.1
tonemapexposureadjust_time,1,1,1
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,0,0
tonemapadaptspeed,0.100091,0.100091,0.100091
tonemapadaptspeed_time,0,0,0
tonemapdarkev,2.84641,2.84641,2.84641
tonemapdarkev_time,1,1,1
tonemapmidev,8.02588,8.02588,8.02588
tonemapmidev_time,1,1,1
tonemaplightev,13.1955,13.1955,13.1955
tonemaplightev_time,1,1,1
tonemapdarkexposureadjust,-4.35,-4.35,-4.35
tonemapdarkexposureadjust_time,1,1,1
tonemapmidexposureadjust,-0.065697,-0.065697,-0.065697
tonemapmidexposureadjust_time,1,1,1
tonemaplightexposureadjust,1.77433,1.77433,1.77433
tonemaplightexposureadjust_time,1,1,1
tonemapminexposureadjust,-4.36869,-4.36869,-4.36869
tonemapminexposureadjust_time,1,1,1
tonemapmaxexposureadjust,2.45,2.45,2.45
tonemapmaxexposureadjust_time,1,1,1
