name,mp_urban,mp_urban_osp,mp_urban_drone,mp_urban_warbird
sunenable,1,1,1,1
sunshadowscale,1,1,1,1
sunshadowscale_time,0,0,0,0
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.25,0.25,0.25,0.25
sunsamplesizenear_time,0,0,0,0
sunfilterradius,4,4,4,4
sunfilterradius_time,0,0,0,0
spotfilterradius,4,4,4,4
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.0419667,0.0152679,0.0152679,0.0152679
veilstrength_time,0,0,0,0
veilbackgroundstrength,1.288,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,0,0,0,0
tonemapexposure,-10,-10,-10,-10
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,0,0,0,0
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,2.32159,2.32159,2.32159,2.32159
tonemapdarkev_time,0,0,0,0
tonemapmidev,6.85963,6.85963,6.85963,6.85963
tonemapmidev_time,0,0,0,0
tonemaplightev,14.3775,14.3775,14.3775,14.3775
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-7.03728,-7.03728,-7.03728,-7.03728
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-0.414152,-0.414152,-0.414152,-0.414152
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,4.00116,4.00116,4.00116,4.00116
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-7.03728,-7.03728,-7.03728,-7.03728
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,4.00116,4.00116,4.00116,4.00116
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,1024.63,1024,1024,1024
tonemapwhite_time,0,0,0,0
tonemapshoulder,0.967643,0.973258,0.973258,0.973258
tonemapshoulder_time,0,0,0,0
tonemapcrossover,5.90196,2.57471,2.57471,2.57471
tonemapcrossover_time,0,0,0,0
tonemaptoe,0.359964,0.289971,0.289971,0.289971
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
aodiminish,1,1,1,1
aodiminish_time,0,0,0,0
ssaostrength,1.0125,1.0125,1.0125,1.0125
ssaostrength_time,0,0,0,0
ssaopower,7.875,7.875,7.875,7.875
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,25,25,25
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
hemiaostrength,0.5,0.5,0.5,0.5
hemiaostrength_time,0,0,0,0
hemiaopower,1,1,1,1
hemiaopower_time,0,0,0,0
hemiaorejectionfalloff,0.5,0.5,0.5,0.5
hemiaorejectionfalloff_time,0,0,0,0
mdao,0,0,0,0
mdaooccluderculldistance,1000,1000,1000,1000
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,1,1,1,1
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,1,1,1,1
mdaovolumestrength_time,0,0,0,0
