name,mp_vlobby_room,mp_vl_create_a_class,mp_vl_firingrange
sunenable,1,1,1
sunshadowscale,1,1,1
sunshadowscale_time,0,0,0
spotlimit,4,4,4
qualityspotshadow,1,1,1
usedsuncascadecount,2,2,2
sunsamplesizenear,0.0875,0.0875,0.0875
sunsamplesizenear_time,0,0,0
specularcolorscale,1,1,1
specularcolorscale_time,0,0,0
diffusecolorscale,0.5,0.5,0.5
diffusecolorscale_time,0,0,0
veil,1,1,1
veilstrength,0.01,0.01,0.25
veilstrength_time,0,0,0
veilbackgroundstrength,1.3,1.5,1.5
veilbackgroundstrength_time,0,0,0
tonemap,2,2,2
tonemapauto,0,0,0
tonemapblend,1,1,1
tonemaplockautoexposureadjust,1,1,1
tonemapautoexposureadjust,0,0,0
tonemapautoexposureadjust_time,0,0,0
tonemapexposure,11,11,11
tonemapexposure_time,0,0,0
tonemapexposureadjust,1.9,1.9,1.9
tonemapexposureadjust_time,0,0,0
tonemapmaxexposure,-10,-10,-10
tonemapmaxexposure_time,0,0,0
tonemapadaptspeed,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0
tonemapdarkev,6.1619,6.1619,6.1619
tonemapdarkev_time,0,0,0
tonemapmidev,9.4839,9.4839,9.4839
tonemapmidev_time,0,0,0
tonemaplightev,12.8058,12.8058,12.8058
tonemaplightev_time,0,0,0
tonemapdarkexposureadjust,-3.1699,-3.1699,-3.1699
tonemapdarkexposureadjust_time,0,0,0
tonemapmidexposureadjust,-0.0651,-0.0651,-0.0651
tonemapmidexposureadjust_time,0,0,0
tonemaplightexposureadjust,1.4739,1.4739,1.4739
tonemaplightexposureadjust_time,0,0,0
tonemapminexposureadjust,-3.1699,-3.1699,-3.1699
tonemapminexposureadjust_time,0,0,0
tonemapmaxexposureadjust,2.3219,2.3219,2.3219
tonemapmaxexposureadjust_time,0,0,0
tonemapwhite,512,512,512
tonemapwhite_time,0,0,0
tonemapshoulder,0.95,0.95,0.95
tonemapshoulder_time,0,0,0
tonemapcrossover,2,2,2
tonemapcrossover_time,0,0,0
tonemaptoe,0,0,0
tonemaptoe_time,0,0,0
tonemapblack,0,0,0
tonemapblack_time,0,0,0
ssaostrength,2,3,3
ssaostrength_time,0,0,0
ssaopower,3,6,6
ssaopower_time,0,0,0
ssaominstrengthdepth,0,0,0
ssaominstrengthdepth_time,0,0,0
ssaomaxstrengthdepth,40,40,40
ssaomaxstrengthdepth_time,0,0,0
ssaoblurradius,1,0.5,0.5
ssaoblurradius_time,0,0,0
