name,mp_vlobby_room,mp_vl_create_a_class,mp_vl_firingrange,mp_vl_selfiebooth
sunenable,0,0,0,0
sunshadowscale,1,1,1,1
sunshadowscale_time,1,0,0,0
spotlimit,4,4,4,4
qualityspotshadow,1,1,1,1
usedsuncascadecount,2,2,2,2
sunsamplesizenear,0.35,0.35,0.35,0.35
sunsamplesizenear_time,0,0,0,0
sunfilterradius,4,4,4,4
sunfilterradius_time,0,0,0,0
spotfilterradius,4,4,4,4
spotfilterradius_time,0,0,0,0
specularcolorscale,1,1,1,1
specularcolorscale_time,0,0,0,0
diffusecolorscale,1,1,1,1
diffusecolorscale_time,0,0,0,0
veil,1,1,1,1
veilstrength,0.0842309,0.01,0.25,0.25
veilstrength_time,0.01,0.01,0.01,0.01
veilbackgroundstrength,0.937357,0.913,0.913,0.913
veilbackgroundstrength_time,0,0,0,0
tonemap,2,2,2,2
tonemapauto,1,1,1,1
tonemapblend,1,1,1,1
tonemaplockautoexposureadjust,0,0,0,0
tonemapautoexposureadjust,0,0,0,0
tonemapautoexposureadjust_time,1,0,0,0
tonemapexposure,-10,-10,-10,2
tonemapexposure_time,0,0,0,0
tonemapexposureadjust,-0.25,-2.5,-0.25,-0.25
tonemapexposureadjust_time,0,0,0,0
tonemapmaxexposure,-10,-10,-10,-10
tonemapmaxexposure_time,0,0,0,0
tonemapadaptspeed,0.02,0.02,0.02,0.02
tonemapadaptspeed_time,0,0,0,0
tonemapdarkev,5.1619,5.1619,6.7469,2.67537
tonemapdarkev_time,0,0,0,0
tonemapmidev,8.9839,8.9839,9.7764,8.91701
tonemapmidev_time,0,0,0,0
tonemaplightev,12.8058,12.8058,12.8058,15.5536
tonemaplightev_time,0,0,0,0
tonemapdarkexposureadjust,-2.17114,-1.848,-1.848,-3.848
tonemapdarkexposureadjust_time,0,0,0,0
tonemapmidexposureadjust,-0.462062,0.229,0.229,-0.462062
tonemapmidexposureadjust_time,0,0,0,0
tonemaplightexposureadjust,1.40742,1.4739,1.4739,1.40742
tonemaplightexposureadjust_time,0,0,0,0
tonemapminexposureadjust,-2.5699,-3.1699,-3.1699,-3.89201
tonemapminexposureadjust_time,0,0,0,0
tonemapmaxexposureadjust,2.3219,2.3219,2.3219,5.25
tonemapmaxexposureadjust_time,0,0,0,0
tonemapwhite,512,512,512,512
tonemapwhite_time,2,0,0,0
tonemapshoulder,0.94,0.94,0.94,0.94
tonemapshoulder_time,0,0,0,0
tonemapcrossover,2,2,2,2
tonemapcrossover_time,0,0,0,0
tonemaptoe,0,0,0,0
tonemaptoe_time,0,0,0,0
tonemapblack,0,0,0,0
tonemapblack_time,0,0,0,0
ssaostrength,1,3,3,3
ssaostrength_time,0,0,0,0
ssaopower,12,6,6,6
ssaopower_time,0,0,0,0
ssaominstrengthdepth,25,0,0,0
ssaominstrengthdepth_time,0,0,0,0
ssaomaxstrengthdepth,40,40,40,40
ssaomaxstrengthdepth_time,0,0,0,0
ssaowidth,90,36,36,36
mdao,0,1,1,1
mdaooccluderculldistance,1700,1700,1700,1700
mdaooccluderculldistance_time,0,0,0,0
mdaooccluderfadeoutstartdistance,900,900,900,900
mdaooccluderfadeoutstartdistance_time,0,0,0,0
mdaocapsulestrength,0.15,0.15,0.15,0.15
mdaocapsulestrength_time,0,0,0,0
mdaovolumestrength,1,1,1,1
