col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
ch_ar_headshot,CHALLENGE_CLASS_HEADSHOTS_AR,CHALLENGE_CLASS_HEADSHOTS_AR_DESC,,1,marksman_class_ar,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,1,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_ar_kill,CHALLENGE_CLASS_KILLS_AR,CHALLENGE_CLASS_KILLS_AR_DESC,,1,marksman_class_ar,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,2,0x6706005,,,,0x6706003,,,,,,,,,,ch_weapon_kill_mastery,
ch_smg_headshot,CHALLENGE_CLASS_HEADSHOTS_SMG,CHALLENGE_CLASS_HEADSHOTS_SMG_DESC,,1,marksman_class_smg,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,3,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_smg_kill,CHALLENGE_CLASS_KILLS_SMG,CHALLENGE_CLASS_KILLS_SMG_DESC,,1,marksman_class_smg,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,4,0x6A02005,,,,0x6A04003,,,,,,,,,,ch_weapon_kill_mastery,
ch_shotgun_headshot,CHALLENGE_CLASS_HEADSHOTS_SHOTGUN,CHALLENGE_CLASS_HEADSHOTS_SHOTGUN_DESC,,1,marksman_class_shotgun,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,5,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_shotgun_kill,CHALLENGE_CLASS_KILLS_SHOTGUN,CHALLENGE_CLASS_KILLS_SHOTGUN_DESC,,1,marksman_class_shotgun,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,6,0x6406001,,,,0x6406003,,,,,,,,,,ch_weapon_kill_mastery,
ch_sniper_headshot,CHALLENGE_CLASS_HEADSHOTS_SNIPER,CHALLENGE_CLASS_HEADSHOTS_SNIPER_DESC,,1,marksman_class_sniper,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,7,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_sniper_kill,CHALLENGE_CLASS_KILLS_SNIPER,CHALLENGE_CLASS_KILLS_SNIPER_DESC,,1,marksman_class_sniper,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,8,0x6B1A001,,,,0x6604004,,,,,,,,,,ch_weapon_kill_mastery,
ch_heavy_headshot,CHALLENGE_CLASS_HEADSHOTS_HEAVY,CHALLENGE_CLASS_HEADSHOTS_HEAVY_DESC,,1,marksman_class_heavy,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,9,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_heavy_kill,CHALLENGE_CLASS_KILLS_HEAVY,CHALLENGE_CLASS_KILLS_HEAVY_DESC,,1,marksman_class_heavy,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,10,0x6600013,,,,0x6804007,,,,,,,,,,ch_weapon_kill_mastery,
ch_pistol_headshot,CHALLENGE_CLASS_HEADSHOTS_PISTOLS,CHALLENGE_CLASS_HEADSHOTS_PISTOLS_DESC,,1,marksman_class_pistol,0,,,25,500,50,1000,100,1500,150,2500,200,5000,,,,,,,,,11,,,,,,,,,,,,,,,ch_weapon_headshot_mastery,
ch_pistol_kill,CHALLENGE_CLASS_KILLS_PISTOLS,CHALLENGE_CLASS_KILLS_PISTOLS_DESC,,1,marksman_class_pistol,0,,,150,500,300,1000,500,1500,750,2500,1000,5000,,,,,,,,,12,0x690400E,,,,0x6900018,,,,,,,,,,ch_weapon_kill_mastery,
ch_special_kill,CHALLENGE_CLASS_KILLS_SPECIAL,CHALLENGE_CLASS_KILLS_SPECIAL_DESC,,1,marksman_class_special,0,,,25,500,50,1000,100,1500,150,2500,250,5000,,,,,,,,,13,0x620600B,,,,0x6204004,,,,,,,,,,ch_weapon_kill_mastery,
ch_launcher_kill,CHALLENGE_CLASS_KILLS_LAUNCHER,CHALLENGE_CLASS_KILLS_LAUNCHER_DESC,,1,marksman_class_launcher,0,,,25,500,50,1000,75,1500,100,2500,150,5000,,,,,,,,,14,0x680A00B,,,,,,,,,,,,,,ch_weapon_kill_mastery,
ch_weapon_kill_mastery,CHALLENGE_CLASS_KILLS_MASTERY,CHALLENGE_CLASS_KILLS_MASTERY_DESC,,1,marksman_total_mastery,0,,,8,10000,,,,,,,,,,,,,,,,,15,0x6B06002,,,,,,,,,,,,,,,
ch_weapon_headshot_mastery,CHALLENGE_CLASS_HEADSHOTS_MASTERY,CHALLENGE_CLASS_HEADSHOTS_MASTERY_DESC,,1,marksman_total_mastery,0,,,6,10000,,,,,,,,,,,,,,,,,16,0x660001D,,,,,,,,,,,,,,,
ch_marksman_iw5_bal27,CHALLENGE_MARKSMAN_BAL27,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_bal27,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,17,,,,0x100004D,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_ak12,CHALLENGE_MARKSMAN_AK12,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_ak12,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,18,,,,0x1000042,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_m182spr,CHALLENGE_MARKSMAN_MK14,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_m182spr,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,19,,,,0x10000C8,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_hbra3,CHALLENGE_MARKSMAN_HBRA3,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_hbra3,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,20,,,,0x10000F0,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_himar,CHALLENGE_MARKSMAN_IMR,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_himar,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,21,,,,0x10000E5,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_arx160,CHALLENGE_MARKSMAN_ARX160,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_arx160,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,22,,,,0x10000BE,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_sn6,CHALLENGE_MARKSMAN_SN6,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_sn6,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,23,,,,0x1000054,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_hmr9,CHALLENGE_MARKSMAN_HMR9,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_hmr9,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,24,,,,0x1000114,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_mp11,CHALLENGE_MARKSMAN_MP11,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_mp11,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,25,,,,0x100011D,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_sac3,CHALLENGE_MARKSMAN_SAC3,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_sac3,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,26,,,,0x1000127,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_asm1,CHALLENGE_MARKSMAN_ASM1,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_asm1,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,27,,,,0x10000FB,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_kf5,CHALLENGE_MARKSMAN_KF5,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_kf5,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,28,,,,0x1000104,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_maul,CHALLENGE_MARKSMAN_BULLDOG,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_maul,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,29,,,,0x10000A1,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_rhino,CHALLENGE_MARKSMAN_RHINO,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_rhino,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,30,,,,0x1000160,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_uts19,CHALLENGE_MARKSMAN_TAC19,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_uts19,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,31,,,,0x100008B,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_mors,CHALLENGE_MARKSMAN_MORS,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_mors,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,32,,,,0x1000061,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_gm6,CHALLENGE_MARKSMAN_LYNX,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_gm6,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,33,,,,0x10000AB,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_thor,CHALLENGE_MARKSMAN_THOR,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_thor,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,34,,,,0x1000172,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_m990,CHALLENGE_MARKSMAN_M990,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_m990,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,35,,,,0x1000153,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_epm3,CHALLENGE_MARKSMAN_EPM3,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_epm3,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,36,,,,0x1000131,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_em1,CHALLENGE_MARKSMAN_EM1,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_em1,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,37,,,,0x1000082,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_asaw,CHALLENGE_MARKSMAN_ATLASSAW,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_asaw,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,38,,,,0x100017B,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_lsat,CHALLENGE_MARKSMAN_LSAT,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_lsat,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,39,,,,0x1000149,,,,,,,,,,,ch_marksman_primary_master,
