botPersonalities,default|run_and_gun,default|run_and_gun,default|run_and_gun,default|run_and_gun,cqb,cqb,cqb,cqb,camper,camper,camper,camper
botDifficulties,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran,recruit,regular,hardened,veteran
loadoutPrimary,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable
loadoutPrimaryAttachment,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutPrimaryAttachment2,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryCamo,none,none,camotable,camotable,none,none,camotable,camotable,none,none,camotable,camotable
loadoutPrimaryReticle,none,none,reticletable,reticletable,none,none,reticletable,reticletable,none,none,reticletable,reticletable
loadoutSecondary,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable,weap_statstable
loadoutSecondaryAttachment,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable,attachmenttable
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondaryCamo,none,none,camotable,camotable,none,none,camotable,camotable,none,none,camotable,camotable
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none
loadoutEquipment,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_camper,template_any_camper
loadoutEquipment2,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutOffhand,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_camper,template_any_camper
loadoutOffhand2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutPerk1,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_camper,template_any_camper
loadoutPerk2,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutPerk3,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_camper,template_any_camper
loadoutPerk4,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutPerk5,specialty_class_toughness,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_noncamper,template_any_noncamper,classtable_any,template_any,template_any_camper,template_any_camper
loadoutPerk6,specialty_exo_blastsuppressor,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutWildcard1,specialty_wildcard_perkslot3,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutWildcard2,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutWildcard3,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null,classtable_any,specialty_null,specialty_null,specialty_null
loadoutStreak1,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any
loadoutStreakModule1a,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule1b,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule1c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak2,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any
loadoutStreakModule2a,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule2b,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule2c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak3,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any,classtable_any,template_any,template_any,template_any
loadoutStreakModule3a,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule3b,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule3c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak4,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule4a,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule4b,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule4c,none,none,none,none,none,none,none,none,none,none,none,none
