template_,any,any_noncamper,any_camper
loadoutStreak1,uav|emp,none,none
loadoutStreak2,strafing_run_airstrike|remote_mg_sentry_turret|heavy_exosuit,none,none
loadoutStreak3,warbird|assault_ugv,none,none
loadoutEquipment,frag_grenade_mp|semtex_mp|stun_grenade_mp|emp_grenade_mp|paint_grenade_mp|smoke_grenade_mp|exoknife_mp|tracking_drone_mp|explosive_drone_mp|stun_grenade_var_mp,frag_grenade_mp|semtex_mp|stun_grenade_mp|emp_grenade_mp|paint_grenade_mp|smoke_grenade_mp|exoknife_mp|tracking_drone_mp|stun_grenade_var_mp,explosive_drone_mp
loadoutOffhand,exoshield_equipment_mp|exocloak_equipment_mp|exoping_equipment_mp|exorepulsor_equipment_mp|adrenaline_mp|extra_health_mp|exohover_equipment_mp|exomute_equipment_mp,exoshield_equipment_mp|exocloak_equipment_mp|exoping_equipment_mp|exorepulsor_equipment_mp|adrenaline_mp|extra_health_mp|exohover_equipment_mp|exomute_equipment_mp,exoshield_equipment_mp|exocloak_equipment_mp|exoping_equipment_mp|exorepulsor_equipment_mp|extra_health_mp|exomute_equipment_mp
loadoutPerk1,specialty_class_lightweight|specialty_class_lowprofile|specialty_class_dangerclose|specialty_extended_battery|specialty_class_flakjacket,specialty_class_lightweight|specialty_class_lowprofile|specialty_class_quickdraw|specialty_extended_battery|specialty_class_flakjacket,specialty_class_lowprofile|specialty_class_flakjacket
loadoutPerk2,specialty_class_lightweight|specialty_class_lowprofile|specialty_class_dangerclose|specialty_extended_battery|specialty_class_flakjacket,specialty_class_lightweight|specialty_class_lowprofile|specialty_class_quickdraw|specialty_extended_battery|specialty_class_flakjacket,specialty_class_lowprofile|specialty_class_flakjacket
loadoutPerk3,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded|specialty_class_fasthands|specialty_class_dexterity,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded|specialty_class_fasthands|specialty_class_dexterity,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded
loadoutPerk4,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded|specialty_class_fasthands|specialty_class_dexterity,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded|specialty_class_fasthands|specialty_class_dexterity,specialty_class_peripherals|specialty_class_blindeye|specialty_class_coldblooded
loadoutPerk5,specialty_class_toughness|specialty_class_scavenger|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline,specialty_class_toughness|specialty_class_scavenger|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline,specialty_class_toughness|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline
loadoutPerk6,specialty_class_toughness|specialty_class_scavenger|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline,specialty_class_toughness|specialty_class_scavenger|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline,specialty_class_toughness|specialty_exo_blastsuppressor|specialty_class_hardwired|specialty_class_hardline
