model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel
mp_top_m_a_01a,shirt,1,1,1,none,mp_top_m_a_01a_lob,mp_view_top_01a,m/mtl_mp_top_01a,m/mtl_mp_view_top_01a,!female,,,,,,,,
mp_top_f_a_01a,shirt,1,1,1,,mp_top_f_a_01a_lob,mp_view_top_01a,m/mtl_mp_top_01a,m/mtl_mp_view_top_01a,female,,,,,,,,
mp_top_f_a_08a,shirt,2,2,1,,mp_top_f_a_08a_lob,mp_view_top_f_08a,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,female,skin0,,,,,,,
mp_top_f_a_08b,shirt,2,2,1,,mp_top_f_a_08b_lob,mp_view_top_f_08b,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,female,skin1,,,,,,,
mp_top_f_a_08c,shirt,2,2,1,,mp_top_f_a_08c_lob,mp_view_top_f_08c,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,female,skin2,,,,,,,
mp_top_f_a_08d,shirt,2,2,1,,mp_top_f_a_08d_lob,mp_view_top_f_08d,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,female,skin3,,,,,,,
mp_top_m_a_08a,shirt,2,2,1,,mp_top_m_a_08a_lob,mp_view_top_08a,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,!female,skin0,,,,,,,
mp_top_m_a_08b,shirt,2,2,1,,mp_top_m_a_08b_lob,mp_view_top_08b,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,!female,skin1,,,,,,,
mp_top_m_a_08c,shirt,2,2,1,,mp_top_m_a_08c_lob,mp_view_top_08c,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,!female,skin2,,,,,,,
mp_top_m_a_08d,shirt,2,2,1,,mp_top_m_a_08d_lob,mp_view_top_08d,m/mtl_mp_top_08a,ms/mtl_mp_view_top_08a,!female,skin3,,,,,,,
mp_top_f_a_06a,shirt,3,4,1,,mp_top_f_a_06a_lob,mp_view_top_06a,m/mtl_mp_top_06a,m/mtl_mp_view_top_06a,female,,,,,,,,
mp_top_m_a_06a,shirt,3,4,1,,mp_top_m_a_06a_lob,mp_view_top_06a,m/mtl_mp_top_06a,m/mtl_mp_view_top_06a,!female,,,,,,,,
mp_top_f_a_24a,shirt,4,5,1,,mp_top_f_a_24a_lob,mp_view_top_06b,,,female,,,,,,,,
mp_top_m_a_24a,shirt,4,5,1,,mp_top_m_a_24a_lob,mp_view_top_06b,,,!female,,,,,,,,
mp_top_f_a_26a,shirt,5,6,1,,mp_top_f_a_26a_lob,mp_view_top_f_04a,m/mtl_mp_top_26a,mc/mtl_mp_view_top_f_04b,female,skin0,,,,,,,
mp_top_f_a_26b,shirt,5,6,1,,mp_top_f_a_26b_lob,mp_view_top_f_04b,m/mtl_mp_top_26a,mc/mtl_mp_view_top_f_04b,female,skin1,,,,,,,
mp_top_f_a_26c,shirt,5,6,1,,mp_top_f_a_26c_lob,mp_view_top_f_04c,m/mtl_mp_top_26a,mc/mtl_mp_view_top_f_04b,female,skin2,,,,,,,
mp_top_f_a_26d,shirt,5,6,1,,mp_top_f_a_26d_lob,mp_view_top_f_04d,m/mtl_mp_top_26a,mc/mtl_mp_view_top_f_04b,female,skin3,,,,,,,
mp_top_m_a_26a,shirt,5,6,1,,mp_top_m_a_26a_lob,mp_view_top_04a,m/mtl_mp_top_26a,m/mtl_mp_view_top_04a,!female,skin0,,,,,,,
mp_top_m_a_26b,shirt,5,6,1,,mp_top_m_a_26b_lob,mp_view_top_04b,m/mtl_mp_top_26a,m/mtl_mp_view_top_04a,!female,skin1,,,,,,,
mp_top_m_a_26c,shirt,5,6,1,,mp_top_m_a_26c_lob,mp_view_top_04c,m/mtl_mp_top_26a,m/mtl_mp_view_top_04a,!female,skin2,,,,,,,
mp_top_m_a_26d,shirt,5,6,1,,mp_top_m_a_26d_lob,mp_view_top_04d,m/mtl_mp_top_26a,m/mtl_mp_view_top_04a,!female,skin3,,,,,,,
mp_top_f_a_09a,shirt,6,7,1,,mp_top_f_a_09a_lob,mp_view_top_f_04a,m/mtl_mp_top_09a,mc/mtl_mp_view_top_f_04b,female,skin0,,,,,,,
mp_top_f_a_09b,shirt,6,7,1,,mp_top_f_a_09b_lob,mp_view_top_f_04b,m/mtl_mp_top_09a,mc/mtl_mp_view_top_f_04b,female,skin1,,,,,,,
mp_top_f_a_09c,shirt,6,7,1,,mp_top_f_a_09c_lob,mp_view_top_f_04c,m/mtl_mp_top_09a,mc/mtl_mp_view_top_f_04b,female,skin2,,,,,,,
mp_top_f_a_09d,shirt,6,7,1,,mp_top_f_a_09d_lob,mp_view_top_f_04d,m/mtl_mp_top_09a,mc/mtl_mp_view_top_f_04b,female,skin3,,,,,,,
mp_top_m_a_09a,shirt,6,7,1,,mp_top_m_a_09a_lob,mp_view_top_04a,m/mtl_mp_top_09a,m/mtl_mp_view_top_04a,!female,skin0,,,,,,,
mp_top_m_a_09b,shirt,6,7,1,,mp_top_m_a_09b_lob,mp_view_top_04b,m/mtl_mp_top_09a,m/mtl_mp_view_top_04a,!female,skin1,,,,,,,
mp_top_m_a_09c,shirt,6,7,1,,mp_top_m_a_09c_lob,mp_view_top_04c,m/mtl_mp_top_09a,m/mtl_mp_view_top_04a,!female,skin2,,,,,,,
mp_top_m_a_09d,shirt,6,7,1,,mp_top_m_a_09d_lob,mp_view_top_04d,m/mtl_mp_top_09a,m/mtl_mp_view_top_04a,!female,skin3,,,,,,,
mp_top_f_a_03a,shirt,7,8,1,,mp_top_f_a_03a_lob,mp_view_top_f_03a,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,female,skin0,,,,,,,
mp_top_f_a_03b,shirt,7,8,1,,mp_top_f_a_03b_lob,mp_view_top_f_03b,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,female,skin1,,,,,,,
mp_top_f_a_03c,shirt,7,8,1,,mp_top_f_a_03c_lob,mp_view_top_f_03c,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,female,skin2,,,,,,,
mp_top_f_a_03d,shirt,7,8,1,,mp_top_f_a_03d_lob,mp_view_top_f_03d,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,female,skin3,,,,,,,
mp_top_m_a_03a,shirt,7,8,1,,mp_top_m_a_03a_lob,mp_view_top_03a,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,!female,skin0,,,,,,,
mp_top_m_a_03b,shirt,7,8,1,,mp_top_m_a_03b_lob,mp_view_top_03b,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,!female,skin1,,,,,,,
mp_top_m_a_03c,shirt,7,8,1,,mp_top_m_a_03c_lob,mp_view_top_03c,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,!female,skin2,,,,,,,
mp_top_m_a_03d,shirt,7,8,1,,mp_top_m_a_03d_lob,mp_view_top_03d,m/mtl_mp_top_03a,ms/mtl_mp_view_top_03a,!female,skin3,,,,,,,
mp_top_f_a_22a,shirt,8,9,1,,mp_top_f_a_22a_lob,mp_view_top_22a,m/mtl_mp_top_22a,m/mtl_mp_view_top_22a,female,,,,,,,,
mp_top_m_a_22a,shirt,8,9,1,,mp_top_m_a_22a_lob,mp_view_top_22a,m/mtl_mp_top_22a,m/mtl_mp_view_top_22a,!female,,,,,,,,
mp_top_f_a_20a,shirt,9,10,1,,mp_top_f_a_20a_lob,mp_view_top_06e,m/mtl_mp_top_20a,m/mtl_mp_view_top_06e,female,,,,,,,,
mp_top_m_a_20a,shirt,9,10,1,,mp_top_m_a_20a_lob,mp_view_top_06e,m/mtl_mp_top_20a,m/mtl_mp_view_top_06e,!female,,,,,,,,
mp_top_f_c_04a,shirt,10,11,1,,mp_top_f_c_04a_lob,mp_view_top_f_04a,m/mtl_mp_top_04a,mc/mtl_mp_view_top_f_04b,female,skin0,,,,,,,
mp_top_f_c_04b,shirt,10,11,1,,mp_top_f_c_04b_lob,mp_view_top_f_04b,m/mtl_mp_top_04a,mc/mtl_mp_view_top_f_04b,female,skin1,,,,,,,
mp_top_f_c_04c,shirt,10,11,1,,mp_top_f_c_04c_lob,mp_view_top_f_04c,m/mtl_mp_top_04a,mc/mtl_mp_view_top_f_04b,female,skin2,,,,,,,
mp_top_f_c_04d,shirt,10,11,1,,mp_top_f_c_04d_lob,mp_view_top_f_04d,m/mtl_mp_top_04a,mc/mtl_mp_view_top_f_04b,female,skin3,,,,,,,
mp_top_m_c_04a,shirt,10,11,1,,mp_top_m_c_04a_lob,mp_view_top_04a,m/mtl_mp_top_04a,m/mtl_mp_view_top_04a,!female,skin0,,,,,,,
mp_top_m_c_04b,shirt,10,11,1,,mp_top_m_c_04b_lob,mp_view_top_04b,m/mtl_mp_top_04a,m/mtl_mp_view_top_04a,!female,skin1,,,,,,,
mp_top_m_c_04c,shirt,10,11,1,,mp_top_m_c_04c_lob,mp_view_top_04c,m/mtl_mp_top_04a,m/mtl_mp_view_top_04a,!female,skin2,,,,,,,
mp_top_m_c_04d,shirt,10,11,1,,mp_top_m_c_04d_lob,mp_view_top_04d,m/mtl_mp_top_04a,m/mtl_mp_view_top_04a,!female,skin3,,,,,,,
mp_top_f_19a,shirt,11,12,1,,mp_top_f_19a_lob,mp_view_top_05a,m/mtl_mp_top_19a,m/mtl_mp_view_top_05a,female,,,,,,,,
mp_top_m_19a,shirt,11,12,1,,mp_top_m_19a_lob,mp_view_top_05a,m/mtl_mp_top_19a,m/mtl_mp_view_top_05a,!female,,,,,,,,
mp_top_f_a_27a,shirt,12,13,1,,mp_top_f_a_27a_lob,mp_view_top_09a,m/mtl_mp_top_27a,m/mtl_mp_view_top_09,female,,,,,,,,
mp_top_m_a_27a,shirt,12,13,1,,mp_top_m_a_27a_lob,mp_view_top_09a,m/mtl_mp_top_27a,m/mtl_mp_view_top_09,!female,,,,,,,,
mp_top_f_28a,shirt,13,14,1,,mp_top_f_28a_lob,mp_view_top_28a,m/mtl_mp_top_28a,m/mtl_mp_top_28a,female,,,,,,,,
mp_top_m_28a,shirt,13,14,1,,mp_top_m_28a_lob,mp_view_top_28a,m/mtl_mp_top_28a,m/mtl_mp_top_28a,!female,,,,,,,,
mp_top_f_a_29a,shirt,14,15,1,,mp_top_f_a_29a_lob,mp_view_top_f_04a,m/mtl_mp_top_29a,mc/mtl_mp_view_top_f_04b,female,skin0,,,,,,,
mp_top_f_a_29b,shirt,14,15,1,,mp_top_f_a_29b_lob,mp_view_top_f_04b,m/mtl_mp_top_29a,mc/mtl_mp_view_top_f_04b,female,skin1,,,,,,,
mp_top_f_a_29c,shirt,14,15,1,,mp_top_f_a_29c_lob,mp_view_top_f_04c,m/mtl_mp_top_29a,mc/mtl_mp_view_top_f_04b,female,skin2,,,,,,,
mp_top_f_a_29d,shirt,14,15,1,,mp_top_f_a_29d_lob,mp_view_top_f_04d,m/mtl_mp_top_29a,mc/mtl_mp_view_top_f_04b,female,skin3,,,,,,,
mp_top_m_a_29a,shirt,14,15,1,,mp_top_m_a_29a_lob,mp_view_top_04a,m/mtl_mp_top_29a,m/mtl_mp_view_top_04a,!female,skin0,,,,,,,
mp_top_m_a_29b,shirt,14,15,1,,mp_top_m_a_29b_lob,mp_view_top_04b,m/mtl_mp_top_29a,m/mtl_mp_view_top_04a,!female,skin1,,,,,,,
mp_top_m_a_29c,shirt,14,15,1,,mp_top_m_a_29c_lob,mp_view_top_04c,m/mtl_mp_top_29a,m/mtl_mp_view_top_04a,!female,skin2,,,,,,,
mp_top_m_a_29d,shirt,14,15,1,,mp_top_m_a_29d_lob,mp_view_top_04d,m/mtl_mp_top_29a,m/mtl_mp_view_top_04a,!female,skin3,,,,,,,
mp_top_f_22wh,shirt,15,16,0,,mp_top_f_22wh_lob,mp_view_top_06wh,m/mtl_mp_top_22wh,m/mtl_mp_view_top_06wh,female,,,,,,,,
mp_top_m_22wh,shirt,15,16,0,,mp_top_m_22wh_lob,mp_view_top_06wh,m/mtl_mp_top_22wh,m/mtl_mp_view_top_06wh,!female,,,,,,,,
mp_top_f_30a,shirt,16,17,0,,mp_top_f_30a_lob,mp_view_top_29a,m/mtl_mp_top_30a,m/mtl_mp_view_top_29a,female,,,,,,,,
mp_top_m_30a,shirt,16,17,0,,mp_top_m_30a_lob,mp_view_top_29a,m/mtl_mp_top_30a,m/mtl_mp_view_top_29a,!female,,,,,,,,
mp_top_f_a_06b,shirt,17,18,1,,mp_top_f_a_06b_lob,mp_view_top_06_spider,m/mtl_mp_top_06_spider,m/mtl_mp_view_top_06_spider,female,,,,,,,,
mp_top_m_a_06b,shirt,17,18,1,,mp_top_m_a_06b_lob,mp_view_top_06_spider,m/mtl_mp_top_06_spider,m/mtl_mp_view_top_06_spider,!female,,,,,,,,
