model,name,guid,overridemat,overrideviewmat,icon,localizedStringID,productionLevel
mp_top_m_a_01a,shirt1_1,0x6202001,m/mtl_mp_top_01j,m/mtl_mp_view_top_01j,s1_cao_image_top_01_1,LOOT_ATLAS_SHIRT_1,
mp_top_m_a_01a,shirt1_2,0x6204001,m/mtl_mp_top_01m,m/mtl_mp_view_top_01m,s1_cao_image_top_01_2,LOOT_ATLAS_SHIRT_2,
mp_top_m_a_01a,shirt1_3,0x6206001,m/mtl_mp_top_01h,m/mtl_mp_view_top_01h,s1_cao_image_top_01_3,LOOT_ATLAS_SHIRT_3,
mp_top_m_a_01a,shirt1_4,0x6208001,m/mtl_mp_top_01n,m/mtl_mp_view_top_01n,s1_cao_image_top_01_4,LOOT_ATLAS_SHIRT_4,
mp_top_m_a_01a,shirt1_5,0x620A001,m/mtl_mp_top_01k,m/mtl_mp_view_top_01k,s1_cao_image_top_01_5,LOOT_ATLAS_SHIRT_5,
mp_top_m_a_01a,shirt1_6,0x620C001,m/mtl_mp_top_01w,m/mtl_mp_view_top_01w,s1_cao_image_top_01_6,LOOT_ATLAS_SHIRT_6,
mp_top_m_a_01a,shirt1_7,0x620E001,m/mtl_mp_top_01pil,m/mtl_mp_view_top_06pil,s1_cao_image_top_01_8,LOOT_ATLAS_SHIRT_7,
mp_top_f_a_01a,shirt1_1,0x6202001,m/mtl_mp_top_01j,m/mtl_mp_view_top_01j,s1_cao_image_top_01_1,LOOT_ATLAS_SHIRT_1,
mp_top_f_a_01a,shirt1_2,0x6204001,m/mtl_mp_top_01m,m/mtl_mp_view_top_01m,s1_cao_image_top_01_2,LOOT_ATLAS_SHIRT_2,
mp_top_f_a_01a,shirt1_3,0x6206001,m/mtl_mp_top_01h,m/mtl_mp_view_top_01h,s1_cao_image_top_01_3,LOOT_ATLAS_SHIRT_3,
mp_top_f_a_01a,shirt1_4,0x6208001,m/mtl_mp_top_01n,m/mtl_mp_view_top_01n,s1_cao_image_top_01_4,LOOT_ATLAS_SHIRT_4,
mp_top_f_a_01a,shirt1_5,0x620A001,m/mtl_mp_top_01k,m/mtl_mp_view_top_01k,s1_cao_image_top_01_5,LOOT_ATLAS_SHIRT_5,
mp_top_f_a_01a,shirt1_6,0x620C001,m/mtl_mp_top_01w,m/mtl_mp_view_top_01w,s1_cao_image_top_01_6,LOOT_ATLAS_SHIRT_6,
mp_top_f_a_01a,shirt1_7,0x620E001,m/mtl_mp_top_01pil,m/mtl_mp_view_top_06pil,s1_cao_image_pending,LOOT_ATLAS_SHIRT_7,
mp_top_f_a_08a,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_f_a_08a,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_f_a_08a,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_f_a_08a,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_f_a_08a,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_top_08a_5,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_f_a_08a,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_top_08a_6,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_f_a_08a,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_top_08a_7,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_f_a_08b,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_f_a_08b,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_f_a_08b,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_f_a_08b,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_f_a_08b,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_top_08a_5,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_f_a_08b,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_top_08a_6,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_f_a_08b,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_top_08a_7,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_f_a_08c,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_f_a_08c,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_f_a_08c,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_f_a_08c,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_f_a_08c,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_top_08a_5,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_f_a_08c,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_top_08a_6,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_f_a_08c,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_top_08a_7,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_f_a_08d,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_f_a_08d,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_f_a_08d,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_f_a_08d,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_f_a_08d,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_top_08a_5,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_f_a_08d,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_top_08a_6,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_f_a_08d,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_top_08a_7,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_m_a_08a,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_m_a_08a,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_m_a_08a,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_m_a_08a,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_m_a_08a,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_m_a_08a,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_m_a_08a,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_m_a_08b,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_m_a_08b,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_m_a_08b,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_m_a_08b,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_m_a_08b,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_m_a_08b,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_m_a_08b,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_m_a_08c,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_m_a_08c,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_m_a_08c,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_m_a_08c,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_m_a_08c,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_m_a_08c,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_6,
