a0,b1,c2,d3,e4,f5,g6,h7,
dm,MPUI_DEATHMATCH,MENU_KILL_EVERYONE_FIRST_PLAYER,icon_pl_exo_free_for_all,0,1,0,0,PRESENCE_C_FFA
war,MPUI_TEAM_DEATHMATCH,MENU_KILL_PLAYERS_ON_THE_OPPOSING,icon_pl_exo_team_deathmatch,1,1,0,0,PRESENCE_C_TDM
sd,MPUI_SEARCH_AND_DESTROY,MENU_TEAMS_TAKE_TURNS_DEFENDING,icon_pl_exo_search_and_destroy,1,1,1,0,PRESENCE_C_SD
dom,MPUI_DOMINATION,MENU_CAPTURE_AND_HOLD_THE,icon_pl_exo_domination,1,1,1,0,PRESENCE_C_DOM
ctf,MPUI_CTF,MENU_CTF_DESC,icon_pl_exo_capture_the_flag,1,1,1,0,PRESENCE_C_CTF
gun,MPUI_GUN,MENU_GUN_DESC,icon_pl_exo_gun_game,0,0,0,1,PRESENCE_C_GUN
infect,MPUI_INFECT,MENU_INFECT_DESC,icon_pl_exo_infected,0,0,0,1,PRESENCE_C_INFECT
conf,MPUI_CONF,MENU_CONF_DESC,icon_pl_exo_kill_confirmed,1,1,0,0,PRESENCE_C_CONF_TDM
hp,MPUI_HP,MENU_HP_DESC,icon_pl_exo_hardpoint,1,1,0,0,PRESENCE_C_HP
sr,LUA_MENU_SR,LUA_MENU_SR_DESC,icon_pl_exo_search_and_rescue,1,1,1,0,PRESENCE_C_SR
horde,LUA_MENU_HORDE,LUA_MENU_HORDE_DESC,icon_pl_sur_survival,0,0,0,0,
ball,MPUI_BALL,MPUI_BALL_DESC,icon_pl_exo_uplink,1,1,1,0,PRESENCE_C_UPLINK
horde,MPUI_HORDE,MPUI_HORDE_DESC,icon_pl_sur_survival,0,0,0,0,
zombies,LUA_MENU_ZOMBIES,LUA_MENU_ZOMBIES_DESC,icon_pl_sur_survival,0,0,0,0,
goliath,LUA_MENU_GOLIATH,LUA_MENU_GOLIATH_DESC,icon_pl_sur_survival,0,0,0,0,
twar,MPUI_TWAR,MPUI_TWAR_DESC,icon_pl_exo_momentum,1,1,0,0,PRESENCE_C_MOMENTUM
