a0,b1,c2,d3,e4,f5,g6,h7,i8
1,menu,class,,HORDE_CLASS_SELECT,HORDE_DESC_EXO_CLASS,0,0,
2,menu,stats,,HORDE_EXO_STATS,HORDE_DESC_EXO_STATS,0,0,
3,menu,abilities,,HORDE_EXO_ABILITIES,HORDE_DESC_EXO_ABILITIES,0,0,
4,menu,class_ability,,HORDE_SCORESTREAK_UPGRADE,HORDE_DESC_SCORESTREAK_UPGRADE,0,0,
5,menu,weapons,,HORDE_NORMAL_WEAPONS,HORDE_DESC_WEAPONS,0,0,
6,menu,optics,,HORDE_ARMORY_OPTICS,HORDE_DESC_ARMORY_OPTICS,0,0,
7,menu,attachments,,HORDE_ARMORY_ATTACHMENTS,HORDE_DESC_ARMORY_ATTACHMENTS,0,0,
8,menu,equipment,,HORDE_EXO_LAUNCHER,HORDE_DESC_EXO_LAUNCHER,0,0,
9,horde_weapon_upgrade,ammo,,HORDE_REFILL_AMMO,HORDE_REFILL_AMMO_DESC,1,0,light support heavy
20,menu,pistol,,HORDE_ARMORY_PISTOLS,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,light support heavy demolition
21,menu,smg,,MPUI_SUB_MACHINE_GUNS,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,light demolition
22,menu,assault,,MPUI_ASSAULT_RIFLES,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,light
23,menu,shotgun,,MPUI_SHOTGUNS,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,support
24,menu,sniper,,MPUI_SNIPER_RIFLES,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,support
25,menu,heavy_weapons,,WEAPON_BEAM,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,heavy
26,menu,launcher,,MPUI_ROCKETS,HORDE_ARMORY_WEAPON_RESTRICTION,0,0,demolition
100,horde_exo_class,light,,HORDE_EXO_LIGHT,HORDE_DESC_EXO_LIGHT,0,0,
101,horde_exo_class,heavy,,HORDE_EXO_HEAVY,HORDE_DESC_EXO_HEAVY,0,0,
102,horde_exo_class,support,,HORDE_EXO_SUPPORT,HORDE_DESC_EXO_SUPPORT,0,0,
103,horde_exo_class,demolition,,HORDE_EXO_DEMOLITION,HORDE_DESC_EXO_DEMOLITION,0,0,
104,horde_exo_class,drone,,KILLSTREAKS_AIRDROP_REMOTE_TANK,HORDE_DESC_DRONE_CLASS,0,5,
