Round Number,Max Enemy Count,Max Enemy Alive,Max Drone Alive,Max Drone Alive,Drone Type
Round 1  Players 1,12,7,0,0,remote_turret_mp
Round 1  Players 2,14,6,0,0,remote_turret_mp
Round 1  Players 3,16,10,0,0,remote_turret_mp
Round 1  Players 4,18,11,0,0,remote_turret_mp
Round 2  Players 1,13,8,0,0,remote_turret_mp
Round 2  Players 2,14,7,0,0,remote_turret_mp
Round 2  Players 3,16,11,0,0,remote_turret_mp
Round 2  Players 4,18,12,0,0,remote_turret_mp
Round 3  Players 1,14,9,0,0,remote_turret_mp
Round 3  Players 2,14,7,0,0,remote_turret_mp
Round 3  Players 3,16,11,0,0,remote_turret_mp
Round 3  Players 4,18,12,0,0,remote_turret_mp
Round 4  Players 1,15,10,0,0,remote_turret_mp
Round 4  Players 2,14,8,0,0,remote_turret_mp
Round 4  Players 3,16,12,0,0,remote_turret_mp
Round 4  Players 4,18,13,0,0,remote_turret_mp
Round 5  Players 1,16,10,2,0,remote_turret_mp
Round 5  Players 2,14,8,2,0,remote_turret_mp
Round 5  Players 3,16,12,4,0,remote_turret_mp
Round 5  Players 4,18,13,4,0,remote_turret_mp
Round 6  Players 1,17,11,0,0,remote_turret_mp
Round 6  Players 2,14,8,0,0,remote_turret_mp
Round 6  Players 3,16,12,0,0,remote_turret_mp
Round 6  Players 4,18,13,0,0,remote_turret_mp
Round 7  Players 1,18,11,3,2,remote_turret_mp
Round 7  Players 2,14,8,3,2,remote_turret_mp
Round 7  Players 3,16,12,5,4,remote_turret_mp
Round 7  Players 4,18,13,5,4,remote_turret_mp
Round 8  Players 1,19,14,0,0,remote_turret_mp
Round 8  Players 2,14,8,0,0,remote_turret_mp
Round 8  Players 3,16,12,0,0,remote_turret_mp
Round 8  Players 4,18,13,0,0,remote_turret_mp
Round 9  Players 1,20,14,3,2,remote_turret_mp
Round 9  Players 2,14,8,3,2,remote_turret_mp
Round 9  Players 3,16,12,5,4,remote_turret_mp
Round 9  Players 4,18,13,5,4,remote_turret_mp
Round 10 Players 1,22,14,0,0,remote_energy_turret_mp
Round 10 Players 2,19,12,0,0,remote_energy_turret_mp
Round 10 Players 3,21,14,0,0,remote_energy_turret_mp
Round 10 Players 4,30,16,0,0,remote_energy_turret_mp
Round 11 Players 1,24,9,0,0,remote_energy_turret_mp
Round 11 Players 2,19,12,0,0,remote_energy_turret_mp
Round 11 Players 3,21,14,0,0,remote_energy_turret_mp
Round 11 Players 4,30,16,0,0,remote_energy_turret_mp
Round 12 Players 1,26,16,4,3,remote_energy_turret_mp
Round 12 Players 2,19,12,4,3,remote_energy_turret_mp
Round 12 Players 3,21,14,6,4,remote_energy_turret_mp
Round 12 Players 4,30,16,6,4,remote_energy_turret_mp
Round 13 Players 1,28,16,4,3,remote_energy_turret_mp
Round 13 Players 2,19,12,4,3,remote_energy_turret_mp
Round 13 Players 3,21,14,6,4,remote_energy_turret_mp
Round 13 Players 4,30,16,6,4,remote_energy_turret_mp
Round 14 Players 1,30,16,4,3,remote_energy_turret_mp
Round 14 Players 2,19,12,4,3,remote_energy_turret_mp
Round 14 Players 3,21,14,6,4,remote_energy_turret_mp
Round 14 Players 4,30,16,6,4,remote_energy_turret_mp
Round 15 Players 1,32,16,4,3,remote_energy_turret_mp
Round 15 Players 2,19,12,4,3,remote_energy_turret_mp
Round 15 Players 3,21,14,6,4,remote_energy_turret_mp
Round 15 Players 4,30,16,6,4,remote_energy_turret_mp
Round 16 Players 1,34,16,4,3,remote_energy_turret_mp
Round 16 Players 2,19,14,4,3,remote_energy_turret_mp
Round 16 Players 3,21,16,6,4,remote_energy_turret_mp
Round 16 Players 4,30,18,6,4,remote_energy_turret_mp
Round 17 Players 1,36,16,5,3,remote_energy_turret_mp
Round 17 Players 2,19,14,5,3,remote_energy_turret_mp
Round 17 Players 3,21,16,7,4,remote_energy_turret_mp
Round 17 Players 4,30,18,7,4,remote_energy_turret_mp
Round 18 Players 1,38,16,5,3,remote_energy_turret_mp
Round 18 Players 2,19,14,5,3,remote_energy_turret_mp
Round 18 Players 3,21,16,7,4,remote_energy_turret_mp
Round 18 Players 4,30,18,7,4,remote_energy_turret_mp
Round 19 Players 1,40,16,5,3,remote_energy_turret_mp
Round 19 Players 2,19,14,5,3,remote_energy_turret_mp
Round 19 Players 3,21,16,7,4,remote_energy_turret_mp
Round 19 Players 4,30,18,7,4,remote_energy_turret_mp
Round 20 Players 1,40,16,5,3,remote_energy_turret_mp
Round 20 Players 2,19,14,5,3,remote_energy_turret_mp
Round 20 Players 3,21,16,7,4,remote_energy_turret_mp
Round 20 Players 4,30,18,7,4,remote_energy_turret_mp
