a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,t20,,
0,none,KILLSTREAKS_NONE,KILLSTREAKS_NONE_DESC,,,mp_ks_earn_generic,,,,,,,specialty_ks_null,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_ks_null,dpad_killstreak_uav_static,specialty_ks_null,,
1,uav,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,400,MP_EARNED_UAV,ks_earn_uav,ks_uav_achieve,uav,uav,1,killstreak_uav_mp,100,scorestreak_fe_uav,scorestreak_cp_uav,scorestreak_cp_uav1,scorestreak_cp_uav2,scorestreak_cp_uav3,scorestreak_fe_uav,scorestreak_hud_uav,scorestreak_hud_uav_lit,support,
2,airdrop_assault,KILLSTREAKS_AIRDROP,KILLSTREAKS_AIRDROP_DESC,3000,MP_EARNED_AIRDROP,mp_ks_earn_generic,ks_carepkg_achieve,carepkg,carepkg,1,airdrop_marker_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
6,sentry,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,3000,MP_EARNED_AUTO_SENTRY,ks_earn_sentrygun,deploy_sentry,null,null,0,killstreak_sentry_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
17,uav_support,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,3000,MP_EARNED_UAV,ks_earn_uav,achieve_uav,uav,uav,1,killstreak_uav_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
18,counter_uav,KILLSTREAKS_COUNTER_UAV,KILLSTREAKS_COUNTER_UAV_DESC,600,MP_EARNED_COUNTER_UAV,ks_earn_counteruav,achieve_jamuav,jamuav,jamuav,1,killstreak_counter_uav_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
20,airdrop_trap,KILLSTREAKS_AIRDROP_TRAP,KILLSTREAKS_AIRDROP_TRAP_DESC,3000,MP_EARNED_AIRDROP_TRAP,ks_drone_cpkg_earn,achieve_airtrap,airtrap,airtrap,0,airdrop_trap_marker_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
24,remote_mg_turret,KILLSTREAKS_REMOTE_MG_TURRET,KILLSTREAKS_REMOTE_MG_TURRET_DESC,3000,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,achieve_remote_sentry,ks_mp_turret_allyuse,ks_mp_turret_enemyuse,0,killstreak_remote_turret_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav_static,specialty_ks_null,,
26,emp,KILLSTREAKS_EMP,KILLSTREAKS_EMP_DESC,700,MP_EARNED_EMP,ks_earn_emp,ks_emp_achieve,emp,emp,1,killstreak_uav_mp,100,scorestreak_fe_emp,scorestreak_cp_emp,scorestreak_cp_emp1,scorestreak_cp_emp2,scorestreak_cp_emp3,scorestreak_fe_emp,scorestreak_hud_emp,scorestreak_hud_emp_lit,support,
29,nuke,KILLSTREAKS_TACTICAL_NUKE,KILLSTREAKS_TACTICAL_NUKE_DESC,3000,MP_EARNED_NUKE,ks_earn_dna_bomb,ks_manticore_achieve,manticore,manticore,1,killstreak_uav_mp,100,scorestreak_hud_dna_bomb,scorestreak_render_dna_bomb,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,scorestreak_render_dna_bomb,scorestreak_hud_dna_bomb,scorestreak_hud_dna_bomb_lit,,
