gender,0x6100001,0x6100002,0x6100001,0x6100002,0x6100001,0x6100002,0x6100001,0x6100002,0x6100001,0x6100002,0x6100001,0x6100001,0x6100001,0x6100001,0x6100001,0x6100001
shirt,0x6200001,0x6200002,0x6200001,0x620000A,0x620000C,0x6200007,0x6200002,0x620000B,0x6200001,0x6200008,0x6200009,0x6200001,0x6200002,0x620000A,0x620000B,0x6200007
head,0x6300011,0x6300010,0x630000E,0x630000F,0x630000D,0x630000C,0x6300009,0x630000B,0x6300008,0x630000A,0x6300007,0x6300006,0x6300005,0x6300005,0x6300004,0x6300003
pants,0x6400001,0x6400002,0x640000D,0x6400001,0x6400009,0x6400009,0x6400001,0x640000D,0x6400003,0x640000C,0x640400D,0x6400001,0x6406001,0x640400D,0x6406001,0x6400009
eyewear,0x6C00000,0x6C00007,0x6C00000,0x6C00000,0x6C00000,0x6C00008,0x6C00001,0x6C00000,0x6C00000,0x6C00000,0x6C00000,0x6C00000,0x6C00000,0x6C00000,0x6C00007,0x6C00002
hat,0x6600000,0x6600018,0x6600000,0x6600011,0x660000F,0x6600000,0x6600018,0x6600000,0x6600002,0x6600001,0x6600000,0x6600004,0x6600003,0x6600000,0x6600011,0x6600000
kneepads,0x6800000,0x6800000,0x680000D,0x6802006,0x6800008,0x6800004,0x680000C,0x680000F,0x6800003,0x680000C,0x6802006,0x6800001,0x6800004,0x6800003,0x6800008,0x6802006
gloves,0x6900001,0x690000C,0x6900001,0x690000C,0x6900003,0x690000C,0x6900001,0x690000C,0x6900002,0x6900001,0x6900002,0x6900001,0x690000E,0x6900003,0x6900002,0x6900001
shoes,0x6A00001,0x6A00002,0x6A00003,0x6A00007,0x6A00004,0x6A0000A,0x6A00009,0x6A0000B,0x6A0000B,0x6A00009,0x6A00003,0x6A00001,0x6A0000A,0x6A00007,0x6A00003,0x6A0000A
gear,0x6700001,0x6700008,0x6700007,0x6700004,0x6700006,0x6700011,0x670000D,0x6700004,0x6700003,0x670000D,0x6700007,0x6700001,0x6700005,0x6700011,0x6700004,0x6700003
exo,0x6B00001,0x6B00005,0x6B00001,0x6B00008,0x6B00003,0x6B00001,0x6B00002,0x6B0E001,0x6B00002,0x6B00001,0x6B00007,0x6B00008,0x6B0E001,0x6B00003,0x6B0E001,0x6B00008
