a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
maxrank,49,,,,,,,,,,,,,,,,
0,pvt1,0,800,RANK_PVT,RANK_PVT_FULL,rank_pvt1,800,,,,,,1,1,,RANK_PVT_FULL,PERKS_UNLOCKED_AT_LV1
1,pvt2,800,1100,RANK_PVT,RANK_PVT_FULL2,rank_pvt2,1900,,,,,,2,2,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV2
2,pvt3,1900,1400,RANK_PVT,RANK_PVT_FULL3,rank_pvt3,3300,,,,,,3,3,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV3
3,pfc1,3300,2000,RANK_PFC,RANK_PFC_FULL,rank_pfc1,5300,,,,,,4,4,,RANK_PFC_FULL,PERKS_UNLOCKED_AT_LV4
4,pfc2,5300,2600,RANK_PFC,RANK_PFC_FULL2,rank_pfc2,7900,,,,,,5,5,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV5
5,pfc3,7900,3200,RANK_PFC,RANK_PFC_FULL3,rank_pfc3,11100,,,,,,6,6,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV6
6,spc1,11100,3800,RANK_SPC,RANK_SPC_FULL,rank_spc1,14900,,,,,,7,7,,RANK_SPC_FULL,PERKS_UNLOCKED_AT_LV7
7,spc2,14900,4400,RANK_SPC,RANK_SPC_FULL2,rank_spc2,19300,,,,,,8,8,,RANK_SPC_FULL_N,PERKS_UNLOCKED_AT_LV8
8,spc3,19300,5000,RANK_SPC,RANK_SPC_FULL3,rank_spc3,24300,,,,,,9,9,,RANK_SPC_FULL_N,PERKS_UNLOCKED_AT_LV9
9,cpl1,24300,5800,RANK_CPL,RANK_CPL_FULL,rank_cpl1,30100,,,,,,10,10,,RANK_CPL_FULL,PERKS_UNLOCKED_AT_LV10
10,cpl2,30100,6600,RANK_CPL,RANK_CPL_FULL2,rank_cpl2,36700,,,,,,11,11,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV11
11,cpl3,36700,7400,RANK_CPL,RANK_CPL_FULL3,rank_cpl3,44100,,,,,,12,12,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV12
12,sgt1,44100,8200,RANK_SGT,RANK_SGT_FULL,rank_sgt1,52300,,,,,,13,13,,RANK_SGT_FULL,PERKS_UNLOCKED_AT_LV13
13,sgt2,52300,9000,RANK_SGT,RANK_SGT_FULL2,rank_sgt2,61300,,,,,,14,14,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV14
14,sgt3,61300,9800,RANK_SGT,RANK_SGT_FULL3,rank_sgt3,71100,,,,,,15,15,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV15
15,ssgt1,71100,10600,RANK_SSGT,RANK_SSGT_FULL,rank_ssgt1,81700,,,,,,16,16,,RANK_SSGT_FULL,PERKS_UNLOCKED_AT_LV16
16,ssgt2,81700,11400,RANK_SSGT,RANK_SSGT_FULL2,rank_ssgt2,93100,,,,,,17,17,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV17
17,ssgt3,93100,12200,RANK_SSGT,RANK_SSGT_FULL3,rank_ssgt3,105300,,,,,,18,18,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV18
18,sfc1,105300,13000,RANK_SFC,RANK_SFC_FULL,rank_sfc1,118300,,,,,,19,19,,RANK_SFC_FULL,PERKS_UNLOCKED_AT_LV19
19,sfc2,118300,13800,RANK_SFC,RANK_SFC_FULL2,rank_sfc2,132100,,,,,,20,20,,RANK_SFC_FULL_N,PERKS_UNLOCKED_AT_LV20
20,sfc3,132100,14600,RANK_SFC,RANK_SFC_FULL3,rank_sfc3,146700,,,,,,21,21,,RANK_SFC_FULL_N,PERKS_UNLOCKED_AT_LV21
21,msgt1,146700,15400,RANK_MSGT,RANK_MSGT_FULL,rank_msgt1,162100,,,,,,22,22,,RANK_MSGT_FULL,PERKS_UNLOCKED_AT_LV22
22,msgt2,162100,16200,RANK_MSGT,RANK_MSGT_FULL2,rank_msgt2,178300,,,,,,23,23,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV23
23,1stsgt1,178300,17000,RANK_1STSGT,RANK_1STSGT_FULL,rank_1stsgt1,195300,,,,,,24,24,,RANK_1STSGT_FULL,PERKS_UNLOCKED_AT_LV24
24,1stsgt2,195300,17800,RANK_1STSGT,RANK_1STSGT_FULL2,rank_1stsgt2,213100,,,,,,25,25,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV25
25,sgtmaj1,213100,18600,RANK_SGTMAJ,RANK_SGTMAJ_FULL,rank_sgtmaj1,231700,,,,,,26,26,,RANK_SGTMAJ_FULL,PERKS_UNLOCKED_AT_LV26
26,sgtmaj2,231700,19400,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,rank_sgtmaj2,251100,,,,,,27,27,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV27
27,csm1,251100,20200,RANK_CSM,RANK_CSM_FULL,rank_cmdsgtmaj1,271300,,,,,,28,28,,RANK_CSM_FULL,PERKS_UNLOCKED_AT_LV28
28,csm2,271300,21000,RANK_CSM,RANK_CSM_FULL2,rank_cmdsgtmaj2,292300,,,,,,29,29,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV29
29,2ndlt1,292300,21800,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt1,314100,,,,,,30,30,,RANK_2NDLT_FULL,PERKS_UNLOCKED_AT_LV30
