a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65
1,3000,weapon_riot,WEAPON_RIOTSHIELD,riotshield,,weapon_riotshield,PERKS_RIOT_SHIELD,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40,0,50,33,33,,,0x1000001,,,,0,,0,0,,,riotshieldt6,0,,,,,
2,3003,weapon_pistol,WEAPON_USP,iw5_usp45,,weapon_usp_45,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,akimbo,tactical,xmags,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x1000003,,X,,0,,0,0,,,,0,,,,,
3,7113,weapon_sec_special,WEAPON_EXPLOSIVE_EXO_CROSSBOWLOOT3,iw5_exocrossbowloot3,,weapon_crossbow_loot3,WEAPON_EXPLOSIVE_EXO_CROSSBOW_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,crossbowscopebase,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,,,0x100017F,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,exocrossbow,2,1,,1,1,
4,3447,weapon_grenade,WEAPON_STUN_GRENADE,stun_grenade,2,equipment_concussion_grenade,PERKS_DEVICE_THAT_BLINDS_AND,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10000CF,,,,0,,0,0,,,,0,,,,,
5,3026,weapon_smg,WEAPON_MP5K,iw5_mp5,,weapon_mp5k,PERKS_SMG,10,weapon_stow_mid_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x1000005,,X,,0,,0,0,,,,0,,,,,
6,3029,weapon_smg,WEAPON_PP90M1,iw5_pp90m1,,weapon_pp90m1,PERKS_SMG_RAPID,10,weapon_stow_mid_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x1000006,,X,,0,,0,0,,,,0,,,,,
7,3044,weapon_projectile,WEAPON_GRENADE_LAUNCHER,gl,,weapon_gl,PERKS_GRENADE_LAUNCHER_ATTACHMENT,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000007,,X,,0,,0,0,,,,0,,,,,
8,3045,weapon_projectile,WEAPON_M320,m320,2,weapon_m320,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,,,0x1000008,,X,,0,,0,0,,,,0,,,,,
9,3046,weapon_projectile,WEAPON_RPG,rpg,2,weapon_rpg7,PERKS_LAUNCHER_ROCKET,10,weapon_rpg7_stow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x1000009,,X,,0,,0,0,,,,0,,,,,
10,3047,weapon_projectile,WEAPON_SMAW,iw5_smaw,2,weapon_smaw,PERKS_LAUNCHER_AT4,10,weapon_at4_stow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,70,50,50,50,50,,,0x100000A,,X,,0,,0,0,,,,0,,,,,
11,3048,weapon_projectile,WEAPON_STINGER,stinger,2,weapon_stinger,PERKS_LAUNCHER_STINGER,10,weapon_stinger_stow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x100000B,,X,,0,,0,0,,,,0,,,,,
