a0,b1,c2,d3,e4,f5,f6
riotshield,-0.1,355,-0.28,-10,lobby_riotshieldt6,stand
iw5_usp45,-0.1,130,-0.28,-10,,stand
iw5_exocrossbow,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
stun_grenade,-0.1,130,-0.28,-10,,stand
iw5_mp5,-0.1,130,-0.28,-10,,stand
iw5_pp90m1,-0.1,130,-0.28,-10,,stand
gl,-0.1,130,-0.28,-10,,stand
m320,-0.1,130,-0.28,-10,,stand
rpg,-0.1,130,-0.28,-10,,stand
iw5_smaw,-0.1,130,-0.28,-10,,stand
stinger,-0.1,165,-0.28,-17,,stand
xm25,-0.1,130,-0.28,-10,,stand
iw5_msr,-0.1,130,-0.28,-10,,stand
iw5_barrett,-0.1,130,-0.28,-10,,stand
iw5_spas12,-0.1,130,-0.28,-10,,stand
c4,-0.1,130,-0.28,-10,,stand
claymore,-0.1,130,-0.28,-10,,stand
trophy,-0.1,130,-0.28,-10,,stand
uav_strike_marker,-0.1,130,-0.28,-10,,stand
scrambler,-0.1,130,-0.28,-10,,stand
airdrop_marker,-0.1,130,-0.28,-10,,stand
semtex,-0.1,130,-0.28,-10,,stand
frag_grenade,-0.1,130,-0.28,-10,,stand
flash_grenade,-0.1,130,-0.28,-10,,stand
smoke_grenade,-0.1,130,-0.28,-10,,stand
concussion_grenade,-0.1,130,-0.28,-10,,stand
emp_grenade,-0.1,130,-0.28,-10,,stand
throwingknife,-0.1,130,-0.28,-10,,stand
paint_grenade,-0.1,130,-0.28,-10,,stand
bouncingbetty,-0.1,130,-0.28,-10,,stand
feature_demolitions,-0.1,130,-0.28,-10,,stand
feature_sniper,-0.1,130,-0.28,-10,,stand
feature_cac,-0.1,130,-0.28,-10,,stand
feature_cas,-0.1,130,-0.28,-10,,stand
feature_streaktype_specialist,-0.1,130,-0.28,-10,,stand
feature_challenges,-0.1,130,-0.28,-10,,stand
feature_hardcore,-0.1,130,-0.28,-10,,stand
feature_oldschool,-0.1,130,-0.28,-10,,stand
feature_clantag,-0.1,130,-0.28,-10,,stand
feature_playercard,-0.1,130,-0.28,-10,,stand
feature_playercard_title,-0.1,130,-0.28,-10,,stand
feature_playercard_icon,-0.1,130,-0.28,-10,,stand
feature_token_1,-0.1,130,-0.28,-10,,stand
feature_token_2,-0.1,130,-0.28,-10,,stand
feature_token_3,-0.1,130,-0.28,-10,,stand
feature_token_4,-0.1,130,-0.28,-10,,stand
feature_token_5,-0.1,130,-0.28,-10,,stand
feature_token_6,-0.1,130,-0.28,-10,,stand
feature_token_7,-0.1,130,-0.28,-10,,stand
feature_token_8,-0.1,130,-0.28,-10,,stand
feature_token_9,-0.1,130,-0.28,-10,,stand
feature_token_10,-0.1,130,-0.28,-10,,stand
feature_token_11,-0.1,130,-0.28,-10,,stand
feature_token_12,-0.1,130,-0.28,-10,,stand
feature_token_13,-0.1,130,-0.28,-10,,stand
feature_token_14,-0.1,130,-0.28,-10,,stand
feature_token_15,-0.1,130,-0.28,-10,,stand
feature_token_16,-0.1,130,-0.28,-10,,stand
feature_token_17,-0.1,130,-0.28,-10,,stand
feature_token_18,-0.1,130,-0.28,-10,,stand
feature_token_19,-0.1,130,-0.28,-10,,stand
feature_token_20,-0.1,130,-0.28,-10,,stand
feature_token_21,-0.1,130,-0.28,-10,,stand
feature_token_22,-0.1,130,-0.28,-10,,stand
feature_token_23,-0.1,130,-0.28,-10,,stand
feature_ghillie_arctic,-0.1,130,-0.28,-10,,stand
feature_ghillie_urban,-0.1,130,-0.28,-10,,stand
feature_ghillie_desert,-0.1,130,-0.28,-10,,stand
-0.1,130,-0.295,-10,,,
-0.1,130,-0.295,-10,,,
-0.1,130,-0.295,-10,,,
iw5_ak12,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_bal27,-0.1,129,-0.285,-10.5,lobby_bal27,stand
iw5_hbra3,-0.1,130,-0.3,-5,lobby_hbra3,stand
iw5_lsat,-0.1,145,-0.295,-2,lobby_lsat,stand
iw5_himar,-0.1,138,-0.275,-4,lobby_himar,zoom_high
iw5_arx160,-0.1,134,-0.295,-7,lobby_arx160,stand
iw5_m182spr,-0.1,133,-0.315,-2,lobby_m182spr,stand
iw5_dlcgun1,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_mp11,-0.1,121,-0.335,-11,lobby_mp11,stand
iw5_sn6,-0.1,140,-0.305,-9,lobby_sn6,stand
iw5_hmr9,-0.1,125,-0.315,-7,lobby_hmr9,stand
iw5_sac3,-0.1,125,-0.355,-8.5,lobby_sac3,stand
iw5_asm1,-0.1,125,-0.31,-6,lobby_asm1,stand
iw5_kf5,-0.1,125,-0.31,-6,lobby_kf5,stand
iw5_m990,-0.1,160,-0.315,1,lobby_m990,stand
iw5_mors,-0.1,149,-0.29,-2.5,lobby_mors,hunch
iw5_gm6,-0.1,165,-0.295,-4,lobby_gm6,stand
iw5_thor,-0.1,177,-0.295,-14,lobby_thor,stand
iw5_maul,-0.1,140,-0.315,-8,lobby_maul,stand
iw5_uts19,-0.1,137,-0.255,-4.5,lobby_uts19,stand
iw5_rhino,-0.1,127.5,-0.295,-10.5,lobby_rhino,stand
iw5_vbr,-0.1,113,-0.345,-9,,stand
iw5_pbw,-0.1,100,-0.375,-9,,stand
iw5_rw1,-0.1,102,-0.315,-3.5,,stand
iw5_titan45,-0.1,107,-0.395,-7.5,,stand
iw5_mahem,-0.1,170,-0.295,-13.5,,stand
iw5_maaws,-0.1,190,-0.265,-14,,stand
iw5_stingerm7,-0.1,155,-0.265,-16.5,,stand
iw5_ak12loot0,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot1,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot2,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot3,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot4,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot5,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot6,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot7,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot8,-0.1,137,-0.315,-4,lobby_ak12,stand
iw5_ak12loot9,-0.1,137,-0.315,-4,lobby_ak12,zoom_high
iw5_dlcgun8loot7,-0.1,137,-0.315,-4,lobby_ak12,zoom_high
