a0,b1,c2,d3,e4
iw5_titan45zm,10,weapon_pistol,,
iw5_rw1zm,10,weapon_pistol,,
iw5_vbrzm,10,weapon_pistol,,
iw5_mp11zm,10,weapon_smg,,
iw5_sac3zm,10,weapon_smg,,
iw5_asm1zm,10,weapon_smg,,
iw5_sn6zm,10,weapon_smg,,
iw5_hmr9zm,10,weapon_smg,,
iw5_uts19zm,10,weapon_shotgun,,
iw5_maulzm,10,weapon_shotgun,,
iw5_fusionzm,10,weapon_shotgun,,
iw5_rhinozm,10,weapon_shotgun,,
iw5_hbra3zm,9,weapon_assault,,
iw5_himarzm,9,weapon_assault,,
iw5_m182sprzm,9,weapon_assault,,
iw5_ak12zm,9,weapon_assault,,
iw5_bal27zm,9,weapon_assault,,
iw5_arx160zm,9,weapon_assault,,
iw5_dlcgun1zm,9,weapon_assault,,
iw5_lsatzm,9,weapon_lmg,,
iw5_asawzm,9,weapon_lmg,,
iw5_em1zm,9,weapon_lmg,,
iw5_microwavezm,9,weapon_lmg,,
iw5_gm6zm,9,weapon_sniper,,
iw5_mahemzm,8,weapon_launcher,,
iw5_exocrossbowzm,9,weapon_launcher,,
iw5_linegunzm,10,weapon_launcher,,
iw5_tridentzm,10,weapon_launcher,,
explosive_drone_zombie,10,weapon_grenade,,
explosive_drone_throw_zombie,10,weapon_grenade,,
frag_grenade_zombies,10,weapon_grenade,,
frag_grenade_throw_zombies,10,weapon_grenade,,
contact_grenade_zombies,10,weapon_grenade,,
contact_grenade_throw_zombies,10,weapon_grenade,,
teleport_zombies,10,weapon_grenade,,
teleport_throw_zombies,10,weapon_grenade,,
distraction_drone_zombie,10,weapon_grenade,,
distraction_drone_throw_zombie,10,weapon_grenade,,
dna_aoe_grenade_zombie_mp,10,weapon_grenade,,
dna_aoe_grenade_throw_zombie_mp,10,weapon_grenade,,
iw5_dlcgun2zm,9,weapon_lmg,,
iw5_dlcgun3zm,10,weapon_pistol,,
iw5_exominigunzm,8,weapon_lmg,,
iw5_dlcgun4zm,10,weapon_shotgun,,
