name,soundevent,secondaryaliasname,sequence,playbackPercentage,probability,loadspec,platform,context,file,loop,spl,vol_min,vol_max,vol_mod,masterpriority,masterpercent,slavepercent,priority,poly,pitch_min,pitch_max,dist_min,dist_max,volumefalloffcurve,shape,occlusionshape,lpfcurve,reverbSendCurve,dopplerpreset,spatialize,speakermap,dsp_bus,reverb,reverbwetmixoverride,chainaliasname,focusPercentage,startdelay,lfe percentage,center percentage,smartpanDistance2d,smartpanDistance3d,smartpanAttenuation3d,velocity_min,stereo3dAngle,stereo3dStart,stereo3dEnd,pausable,subtitle,misc
remote_missile_clu_aquiring_lock,,,1,,,!ny_manhattan berlin,,,mw3/misc/bomb_tick_digital1.wav,,misc_3,0.3465,0.3465,mw3_DEPRECATED_na,50,,,5,,,,360,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_clu_lock,,,1,,,!ny_manhattan berlin,,,mw3/cobra/weap_hellfire_lock.wav,,misc_2,0.3465,0.3465,mw3_DEPRECATED_na,50,,,5,,,,360,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire,,,1,,,!ny_manhattan berlin,,,mw3/weapons/javelin/weap_javelin_fire_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,1,1,7,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_ignition,,remote_missile_ignition_dist,1,,,!ny_manhattan berlin,,,mw3/weapons/javelin/weap_javelin_ignition_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,7,6000,weapon2,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_ignition_dist,,,1,,,!ny_manhattan berlin,,,mw3/weapons/javelin/weap_javelin_ignition_dist_v1.wav,,wpn_3,0.315,0.315,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,5000,25000,weapon2,donut,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire_npc,,remote_missile_fire_npc_dist,1,,,!berlin,,,mw3/weapons/javelin/weap_javelin_fire_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,1,1,50,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire_npc_dist,,,1,,,!berlin,,,mw3/weapons/javelin/weap_javelin_fire_dist_v1.wav,,wpn_3,0.315,0.315,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,5000,25000,,donut,,,,,,,weapons,,,,,300,,,,,,,,,,,,
remote_missile_clu_aquiring_lock,,,2,,,berlin,,,mw3/misc/bomb_tick_digital1.wav,,misc_3,0.3465,0.3465,mw3_DEPRECATED_na,50,,,5,,,,360,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_clu_lock,,,2,,,berlin,,,mw3/cobra/weap_hellfire_lock.wav,,misc_2,0.3465,0.3465,mw3_DEPRECATED_na,50,,,5,,,,360,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire,,,2,,,berlin,,,mw3/weapons/javelin/weap_javelin_fire_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,1,1,7,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_ignition,,remote_missile_ignition_dist,2,,,berlin,,,mw3/weapons/javelin/weap_javelin_ignition_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,7,6000,weapon2,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_ignition_dist,,,2,,,berlin,,,mw3/weapons/javelin/weap_javelin_ignition_dist_v1.wav,,wpn_3,0.315,0.315,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,5000,25000,weapon2,donut,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire_npc,,remote_missile_fire_npc_dist,2,,,berlin,,,mw3/weapons/javelin/weap_javelin_fire_v1.wav,,wpn_4,0.28,0.28,mw3_DEPRECATED_na,50,,,5,,1,1,50,6000,,,,,,,,,weapons,,,,,,,,,,,,,,,,,
remote_missile_fire_npc_dist,,,2,,,berlin,,,mw3/weapons/javelin/weap_javelin_fire_dist_v1.wav,,wpn_3,0.315,0.315,mw3_DEPRECATED_na,50,,,5,,0.95,1.05,5000,25000,,donut,,,,,,,weapons,,,,,300,,,,,,,,,,,,
move_remotemissile_proj_loop1,,,1,,,!all_mp ny_manhattan,,,mw3/weapons/javelin/move_05_proj_loop1_stereo.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,,unrestricted,1,1,360,10000,,,,,,,,,weapons,,,,,,0.2,,,,,,,,,,,
move_remotemissile_proj_loop2,,,1,,,!all_mp ny_manhattan,,,mw3/weapons/javelin/weap_rpg_loop_trail2_stereo.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,,unrestricted,1,1,1000,10000,,,,,,,,,weapons,,,,,,0.2,,,,,,,,,,,
move_remotemissile_proj_flame,,,1,,,!all_mp ny_manhattan,,,mw3/weapons/rpg7/weap_rpg_trail_loop_flamehiss2.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,,unrestricted,1.1,1.1,120,4500,weapon2,,,,,,,,weapons,,,,,,,,,,,,,,,,,
move_remotemissile_proj_loop1,,,2,,,all_mp,,,mw3/weapons/javelin/move_05_proj_loop1_stereo.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,,,unrestricted,1,1,360,10000,,,,,,,,,weapons,,,,,,0.2,,,,,,,,,,,
move_remotemissile_proj_loop2,,,2,,,all_mp,,,mw3/weapons/javelin/weap_rpg_loop_trail2_stereo.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,,,unrestricted,1,1,1000,10000,,,,,,,,,weapons,,,,,,0.2,,,,,,,,,,,
move_remotemissile_proj_flame,,,2,,,all_mp,,,mw3/weapons/rpg7/weap_rpg_trail_loop_flamehiss2.wav,rlooping,wpn_3,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,,,unrestricted,1.1,1.1,120,4500,weapon2,,,,,,,,weapons,,,,,,,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,1,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_boom1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,2,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_boom2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,3,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_boom3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,4,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_boom4.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,5,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_boom5.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,1,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_underground_low01.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,2,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_underground_low02.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
