zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_climate_3,amb_climate3_ext,,,mp_climate3_ext_open,,,,,
int_tech_center,amb_climate3_int_lrg,,,mp_climate3_int_lrg,,mp_tuned_default,,,
int_tech_center_below,amb_climate3_flooded_halls,,,mp_climate3_int_slap,,mp_tuned_default,,,
int_side_pod,amb_climate3_int_enclosed,,,mp_climate3_int_sml,,mp_tuned_default,,,
ext_escalator_entrance,amb_climate3_ext,,,mp_climate3_ext_slap,,mp_tuned_default,,,
ext_rocks_slap,amb_climate3_ext,,,mp_climate3_ext_slap_open,,mp_tuned_default,,,
int_workshop,amb_climate3_int_enclosed,,,mp_climate3_ext_slap,,mp_tuned_default,,,
int_hallway_high,amb_climate3_ext,,,mp_climate3_ext_slap,,mp_tuned_default,,,
int_ruins_sml,amb_climate3_ext,,,mp_climate3_int_sml,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_climate3_int_filt,default,highshelf,4500,-9,1,,,,
mp_climate3_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_climate3_int_sml,semi_open_small,1,0.4,2,,,,,
mp_climate3_int_lrg,med_size_vibrant,1,0.45,2,,,,,
mp_climate3_int_slap,med_size_vibrant,1,0.75,2,,,,,
mp_climate3_ext_open,courtyard,1,0.35,2,,,,,
mp_climate3_ext_slap,med_size_vibrant,1,0.45,2,,,,,
mp_climate3_ext_slap_open,med_size_vibrant,1,0.2,2,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_pre_event_mix,mp_pre_event,1,0.3,0.3,,,,,
mp_pre_event_mix,mp_post_event,0,0.3,0.3,,,,,
mp_post_event_mix,mp_pre_event,0,0.3,0.3,,,,,
mp_post_event_mix,mp_post_event,1,0.3,0.3,,,,,
