zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_clowntown3,amb_mp_clowntown3_ext,,,mp_clowntown3_ext_open,,mp_tuned_default,,,
int_f_bathroom,amb_mp_clowntown3_int_bthrm,,,mp_clowntown3_int_slap,,mp_tuned_default,,,
int_m_bathroom,amb_mp_clowntown3_int_bthrm,,,mp_clowntown3_int_slap,,mp_tuned_default,,,
int_carwash,amb_mp_clowntown3_ext,,,mp_clowntown3_int_less_slap,,mp_tuned_default,,,
int_tunnel,amb_mp_clowntown3_int_bthrm,,,mp_clowntown3_int_tunnel,,mp_tuned_default,,,
int_semi_truck,amb_mp_clowntown3_ext_occ,,,mp_clowntown3_int_slap,,mp_tuned_default,,,
int_clown_inn_office,amb_mp_clowntown3_int_lrg,,,mp_clowntown3_int_lrg,,mp_tuned_default,,,
int_clown_inn_sml,amb_mp_clowntown3_int_sml,,,mp_clowntown3_int_sml,,mp_tuned_default,,,
int_clown_inn_lrg,amb_mp_clowntown3_int_lrg,,,mp_clowntown3_int_lrg,,mp_tuned_default,,,
int_mining_shack,amb_mp_clowntown3_int_sml,,,mp_clowntown3_int_sml,,mp_tuned_default,,,
ext_mining_tunnel_entrance,amb_mp_clowntown3_ext,,,mp_clowntown3_ext_slap,,mp_tuned_default,,,
ext_drainage_trench,amb_mp_clowntown3_ext,,,mp_clowntown3_ext_slap_open,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_clowntown3_int_filt,default,highshelf,4500,-9,1,,,,
mp_clowntown3_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_clowntown3_int_sml,semi_open_small,0.9,0.6,1,,,,,
mp_clowntown3_int_lrg,semi_open_large,0.9,0.2,1,,,,,
mp_clowntown3_int_slap,med_size_vibrant,0.9,0.8,1,,,,,
mp_clowntown3_int_tunnel,large_size_vibrant,0.8,0.8,1,,,,,
mp_clowntown3_ext_open,courtyard,0.9,0.1,1,,,,,
mp_clowntown3_int_less_slap,close_buildings,0.9,0.5,1,,,,,
mp_clowntown3_ext_slap,med_size_vibrant,0.9,0.45,1,,,,,
mp_clowntown3_ext_slap_open,med_size_vibrant,1,0.375,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
