zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_comeback,amb_mp_cb_ext_east,flies,cb_ext_mix,mp_cb_ext,,mp_tuned_default,,,
mp_cb_partial,amb_mp_cb_ext_east,flies,cb_ext_mix,mp_cb_partial,,mp_tuned_default,,,
mp_cb_sml_int,amb_mp_cb_int,flies,cb_int_mix,mp_cb_int,,mp_tuned_default,,,
mp_cb_int_shack,amb_mp_cb_int_sml,flies,cb_int_mix,mp_cb_int_sml,,mp_tuned_default,,,
mp_cb_lrg_int,amb_mp_cb_main,flies,cb_int_mix,mp_cb_mall,,mp_tuned_default,,,
mp_cb_center,amb_mp_cb_center,drips,cb_int_mix,mp_cb_center,,mp_tuned_default,,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_cb_mall,hall_marble,0.9,0.7,1,,,,,
mp_cb_int,hallway_concrete,0.9,0.7,1,,,,,
mp_cb_int_sml,small_size_vibrant,0.9,0.7,1,,,,,
mp_cb_partial,semi_open_med,0.9,0.6,1,,,,,
mp_cb_center,semi_open_large,0.9,0.7,1,,,,,
mp_cb_ext,scattered_buildings,0.9,0.2,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
flies_annoying,mp_cb_flies,1,5,3,8,50,150,,
drip_mask,drip_mask_03,0.5,1,0.45,0.75,50,150,,
dynamic_ambience_names,components,,,,,,,,
flies,flies_annoying,,,,,,,,
drips,drip_mask,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
cb_ext_mix,amb_damb_big,1,1,0.5,,,,,
cb_ext_mix,amb_emitter_int,0.3,1,0.5,,,,,
cb_ext_mix,amb_emitter_ext,1,1,0.5,,,,,
cb_int_mix,amb_damb_big,0.1,1,0.5,,,,,
cb_int_mix,amb_emitter_int,1,1,0.5,,,,,
cb_int_mix,amb_emitter_ext,0.1,1,0.5,,,,,
