zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_detroit,amb_mp_detroit_ext_east,ext_amb,detroit_ext_mix,mp_detroit_ext,,,,,
mp_detroit_ext,amb_mp_detroit_ext_east,ext_amb,detroit_ext_mix,mp_detroit_ext,,,,,
mp_detroit_ext_container,amb_mp_detroit_ext_east,ext_amb,detroit_ext_mix,mp_detroit_container,,,,,
mp_detroit_ext_alley,amb_mp_detroit_ext_east,ext_amb,detroit_ext_mix,mp_detroit_alley,,,,,
mp_detroit_hospital,amb_mp_detroit_lrg_int_front,int_amb_rats,detroit_int_mix,mp_detroit_int_sml,,,,,
mp_detroit_school,amb_mp_detroit_lrg_int_front,int_amb_rats,detroit_int_mix,mp_detroit_int_lrg,,,,,
mp_detroit_garage,amb_mp_detroit_garage_front,int_amb,garage_amb,mp_detroit_garage,,,,,
mp_detroit_garage_sml,amb_mp_detroit_garage_front,int_amb,garage_amb,mp_detroit_int_sml,,,,,
mp_detroit_sml_truck,amb_mp_detroit_sml_lab_front,int_amb,detroit_int_mix,mp_detroit_container,,,,,
mp_detroit_lrg_truck,amb_mp_detroit_lrg_lab_front,int_amb,detroit_int_mix,mp_detroit_int_sml,,,,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_detroit_ext,courtyard,0.9,0.7,1,,,,,
mp_detroit_garage,semi_open_large,0.9,0.7,1,,,,,
mp_detroit_int_lrg,hallway_concrete,0.9,0.7,1,,,,,
mp_detroit_int_sml,room_concrete,0.9,0.7,1,,,,,
mp_detroit_container,sewer,0.9,0.7,1,,,,,
mp_detroit_alley,alley,0.9,0.7,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
trash,trash_wind,2,10,5,15,100,400,,
int_gusts,int_gusts,5,15,8,20,90,125,,
rats,rats,5,15,5,15,90,125,,
garage_rats,rats,5,15,8,20,100,250,,
bangs,damb_rattle,5,15,5,12,100,1000,,
dynamic_ambience_names,components,,,,,,,,
ext_amb,trash,,,,,,,,
int_amb,int_gusts,,,,,,,,
int_amb_rats,int_gusts + rats + bangs,,,,,,,,
garage_amb,int_gusts + rats + trash,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
detroit_ext_mix,amb_emitter_int,0.1,1,0.5,,,,,
detroit_ext_mix,amb_emitter_ext,1,1,0.5,,,,,
detroit_int_mix,amb_emitter_int,1,1,0.5,,,,,
detroit_int_mix,amb_emitter_ext,0.2,1,0.5,,,,,
detroit_garage_mix,amb_emitter_int,1,1,0.5,,,,,
detroit_garage_mix,amb_emitter_ext,0.1,1,0.5,,,,,
