zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_fracture,amb_mp_fracture_ext_wind_debris_low,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
int_cave,amb_mp_fracture_int_entrance_wind,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
ext_under_lab_open,amb_mp_fracture_int_large_open_wind,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_command_open,amb_mp_fracture_int_large_room,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_pod,amb_mp_fracture_int_tunnel_wind_short,,mp_int_zone_mix,tunnel_stairs,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mountain_wind,courtyard,1,0.85,1,,,,,
metal_room,elevator_shaft,1,0.85,1,,,,,
concrete_room,elevator_shaft,0.8,0.85,1,,,,,
tunnel_stairs,tunnel,0.7,1,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_fracture_ext_mix,amb_emitter_int,0.1,0.3,0.3,,,,,
mp_fracture_ext_mix,amb_emitter_ext,1,0.3,0.3,,,,,
mp_fracture_int_mix,amb_emitter_int,1,0.3,0.3,,,,,
mp_fracture_int_mix,amb_emitter_ext,0.1,0.3,0.3,,,,,
