zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_greenband,amb_gnb_ext,greenband_ext,,mp_greenband_ext,,mp_tuned_default,,,
mp_greenband_int_slap,amb_gnb_aquarium,greenband_int,,mp_greenband_int_slap,mp_greenband_int_filt,mp_tuned_default,,,
mp_greenband_int,amb_gnb_aquarium,greenband_int,,mp_greenband_aqua,mp_greenband_int_filt,mp_tuned_default,,,
mp_greenband_partial,amb_gnb_ext,greenband_ext,,mp_greenband_ext_slap,mp_greenband_partial_filt,mp_tuned_default,,,
mp_greenband_extcafe,amb_gnb_ext,greenband_ext,,mp_greenband_ext_slap,mp_greenband_partial_filt,mp_tuned_default,,,
mp_greenband_pub,amb_gnb_int,greenband_int,,mp_greenband_pub,mp_greenband_int_filt,mp_tuned_default,,,
mp_greenband_tunnel,amb_gnb_ext,greenband_int,,mp_greenband_int_slap,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
mp_greenband_int_filt,default,0,highshelf,4500,-9,1,,,
mp_greenband_aqu_filt,default,0,highshelf,4500,-10,1,,,
mp_greenband_partial_filt,default,0,highshelf,6000,-6,1,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_greenband_pub,hall_marble,0.9,0.7,1,,,,,
mp_greenband_aqua,cave,0.9,0.7,1,,,,,
mp_greenband_int_slap,hallway_concrete,0.9,0.7,1,,,,,
mp_greenband_ext,courtyard,0.9,0.7,1,,,,,
mp_greenband_ext_slap,underpass,0.9,0.7,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
wind,emt_gnb_wind_gust,1,3,3,12,50,750,0,360
creek,emt_gnb_creek,5,15,20,60,1000,6000,0,360
dynamic_ambience_names,components,,,,,,,,
greenband_ext,wind,,,,,,,,
greenband_int,creek,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
