zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_highrise2,amb_mp_hr2_ext,,,mp_highrise2_ext_open,,,,,
int_pipes_hallway,amb_mp_hr2_int_maintenance,,,mp_highrise2_int_slap,,mp_tuned_default,,,
int_helipad_stairwell,amb_mp_hr2_int_stairwell,,,mp_highrise2_int_tunnel,,mp_tuned_default,,,
int_maintenance_hallway,amb_mp_hr2_int_maintenance,,,mp_highrise2_int_slap,,mp_tuned_default,,,
int_maintenance_stairwell,amb_mp_hr2_int_stairwell,,,mp_highrise2_int_tunnel,,mp_tuned_default,,,
int_storage_hallway,amb_mp_hr2_int,,,mp_highrise2_int_slap,,mp_tuned_default,,,
int_storage_stairwell,amb_mp_hr2_int_stairwell,,,mp_highrise2_int_tunnel,,mp_tuned_default,,,
int_storage_room,amb_mp_hr2_int,,,mp_highrise2_int_less_slap,,mp_tuned_default,,,
int_office_bldg,amb_mp_hr2_int_office,,,mp_highrise2_int_lrg,,mp_tuned_default,,,
int_office_const,amb_mp_hr2_int_const,,,mp_highrise2_int_lrg,,mp_tuned_default,,,
int_office_const_side_room,amb_mp_hr2_int_const,,,mp_highrise2_int_less_slap,,mp_tuned_default,,,
int_side_room,amb_mp_hr2_int_office,,,mp_highrise2_int_sml,,mp_tuned_default,,,
int_shack_sml,amb_mp_hr2_ext,,,mp_highrise2_int_sml,,mp_tuned_default,,,
int_elevator,amb_mp_hr2_int_stairwell,,,mp_highrise2_int_sml,,mp_tuned_default,,,
int_tunnel_open,amb_mp_hr2_ext,,,mp_highrise2_int_tunnel,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_highrise2_int_filt,default,highshelf,4500,-9,1,,,,
mp_highrise2_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_highrise2_int_sml,semi_open_small,0.9,0.4,1,,,,,
mp_highrise2_int_lrg,semi_open_large,0.9,0.25,1,,,,,
mp_highrise2_int_slap,med_size_vibrant,0.9,0.5,1,,,,,
mp_highrise2_int_tunnel,large_size_vibrant,0.8,0.5,1,,,,,
mp_highrise2_ext_open,courtyard,1,0.6,1,,,,,
mp_highrise2_int_less_slap,close_buildings,0.9,0.3,1,,,,,
mp_highrise2_ext_slap,med_size_vibrant,0.9,0.25,1,,,,,
mp_highrise2_ext_slap_open,med_size_vibrant,1,0.3,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
