zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_instinct,amb_mp_instinct_ext_forest_river,damb_ext_jungle,mp_ext_zone_mix,forest_river,,mp_tuned_default,,,
ext_forest,amb_mp_instinct_ext_forest,,mp_ext_zone_mix,forest,,mp_tuned_default,,,
int_cave,amb_mp_instinct_int_cave_deep,damb_int_cave,mp_int_zone_mix,cave,,mp_tuned_default,,,
int_cave_hallway,amb_mp_instinct_int_cave_tunnel,damb_int_cave_tunnel,mp_int_zone_mix,tunnel,,mp_tuned_default,,,
int_bldg_cntr,amb_mp_instinct_ext_patio,damb_int_patio,mp_int_zone_mix,cove_closed,,mp_tuned_default,,,
int_pod_1,amb_mp_instinct_int_trailer,,mp_int_zone_mix,trailer,,mp_tuned_default,,,
int_pod_2,amb_mp_instinct_int_trailer,,mp_int_zone_mix,trailer,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
forest_river,field,1,0.5,1,,,,,
forest,courtyard,1,0.5,1,,,,,
cove_closed,alcove_concrete,1,0.5,1,,,,,
trailer,room_metal,1,0.5,1,,,,,
cave,cave,1,0.7,2,,,,,
tunnel,tunnel,1,0.5,2,,,,,
mp_instinct_ext,amb_emitter_int,0,0.2,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
ext_howler_monkeys_close,emt_howlers_howl_close,12,20,15,24,100,800,,
int_howler_monkeys_distant,emt_howler_howl_distant,4,6,5,11,75,400,,
ext_tree_move_light,emt_tree_move_light,8,14,7,14,150,600,,
ext_tree_wind,emt_tree_wind_dry_wet,6,10,6,13,25,500,,
ext_tree_wind_med,emt_tree_wind_med,5,9,3,12,150,400,,
ext_tree_wind_light,emt_trees_wind_light,4,18,9,16,50,500,,
ext_drip_leaf,emt_drip_leaf,2,4,1,2,25,200,,
ext_drip_forest_rock,emt_drip_forest_rock,1,5,1,3,25,200,,
ext_flies_pan,emt_flies_pan,6,10,5,11,50,200,,
int_drips_cave_entrance,emt_drips_cave_entrance,3,5,2,5,75,250,,
int_drips_cave_light,emt_drips_cave_light,2,4,1,5,75,225,,
int_drip_wet_forest,emt_drip_wet_forest,2,5,1,6,100,400,,
int_dust_cave,emt_rocks_dust_cave,3,7,4,7,75,300,,
int_debris_cave,emt_rocks_debris_cave,2,5,5,3,75,400,,
dynamic_ambience_names,components,,,,,,,,
damb_ext_jungle,ext_howler_monkeys_close + ext_drip_leaf + ext_flies_pan + ext_drip_forest_rock + ext_tree_wind + ext_tree_wind_med + ext_tree_wind_light + ext_tree_move_light,,,,,,,,
damb_int_cave_tunnel,int_drips_cave_entrance + int_debris_cave + int_dust_cave + int_drip_wet_forest + ext_flies_pan + ext_drip_forest_rock + int_howler_monkeys_distant,,,,,,,,
damb_int_cave,int_debris_cave + int_dust_cave + int_drips_cave_light + ext_drip_forest_rock + int_drips_cave_entrance,,,,,,,,
damb_int_patio,ext_flies_pan + int_debris_cave + int_dust_cave,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
