zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_kremlin,amb_ext_kre_combat,,,mp_kremlin_ext,,mp_tuned_default,,,
ext_ruins_open,amb_ext_kre_combat,,,mp_kremlin_ext_slap,,mp_tuned_default,,,
int_hallway_open,amb_ext_kre_combat,,,mp_kremlin_int,,mp_tuned_default,,,
int_bldg_lrg,amb_int_kre_bldg,,,mp_kremlin_int,,mp_tuned_default,,,
int_bldg_sml,amb_int_kre_bldg_med,,,mp_kremlin_int,,mp_tuned_default,,,
int_museum_lrg_slap,amb_int_kre_bldg,,,mp_kremlin_int_slap,,mp_tuned_default,,,
int_museum_med_slap,amb_int_kre_bldg_med,,,mp_kremlin_int_slap,,mp_tuned_default,,,
int_storage_hallway,amb_int_kre_bldg_dest,,,mp_kremlin_int_slap,,mp_tuned_default,,,
int_bank_dest,amb_int_kre_bldg_dest,,,mp_kremlin_int,,mp_tuned_default,,,
int_bldg_lrg_dest,amb_int_kre_bldg_dest,,,mp_kremlin_int,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_kremlin_ext,courtyard,1,0.8,2,,,,,
mp_kremlin_ext_slap,courtyard,1,1,2,,,,,
mp_kremlin_int,hall_marble,0.9,0.65,2,,,,,
mp_kremlin_int_slap,elevator_shaft,0.7,0.85,2,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
