zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_lab2,amb_mp_lab2_ext_wind_debris_low,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
ext_wind_debris_high,amb_mp_lab2_ext_wind_debris_high,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
ext_wind_rattle,amb_mp_lab2_ext_wind_rattle,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
int_entrance_wind,amb_mp_lab2_int_entrance_wind,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_medium_room,amb_mp_lab2_int_medium_room,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_large_room,amb_mp_lab2_int_large_room,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_large_open_wind,amb_mp_lab2_int_large_open_wind,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_wind_muffle,amb_mp_lab2_int_wind_muffle,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_tunnel_wind_short,amb_mp_lab2_int_tunnel_wind_short,,mp_int_zone_mix,tunnel_stairs,,mp_tuned_default,,,
int_drop,amb_mp_lab2_int_drop,,mp_int_zone_mix,mountain_wind,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mountain_wind,courtyard,1,0.85,1,,,,,
metal_room,elevator_shaft,1,0.85,1,,,,,
concrete_room,elevator_shaft,0.8,0.85,1,,,,,
tunnel_stairs,tunnel,0.7,1,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_lab2_ext_mix,amb_emitter_int,0.1,0.3,0.3,,,,,
mp_lab2_ext_mix,amb_emitter_ext,1,0.3,0.3,,,,,
mp_lab2_int_mix,amb_emitter_int,1,0.3,0.3,,,,,
mp_lab2_int_mix,amb_emitter_ext,0.1,0.3,0.3,,,,,
