zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_lair,amb_mp_lair_ext,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
int_bldg_sml,amb_mp_lair_int_sml,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_bldg_sml_open,amb_mp_lair_int_sml_open,,mp_ext_zone_mix,metal_room,,mp_tuned_default,,,
int_bldg_med,amb_mp_lair_int_med,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_bldg_lrg,amb_mp_lair_int_lrg,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_covered_wlkwy_open,amb_mp_lair_int_sml_open,,mp_ext_zone_mix,walkway_open,,mp_tuned_default,,,
int_chopper_grounded,amb_mp_lair_int_sml_open,,mp_ext_zone_mix,metal_room,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mountain_wind,courtyard,1,0.9,1,,,,,
metal_room,elevator_shaft,1,0.6,1,,,,,
concrete_room,elevator_shaft,1,0.55,1,,,,,
tunnel_stairs,tunnel,1,0.8,1,,,,,
walkway_open,tunnel,1,0.35,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_lair_ext_mix,amb_emitter_int,0.1,0.3,0.3,,,,,
mp_lair_ext_mix,amb_emitter_ext,1,0.3,0.3,,,,,
mp_lair_int_mix,amb_emitter_int,1,0.3,0.3,,,,,
mp_lair_int_mix,amb_emitter_ext,0.1,0.3,0.3,,,,,
