zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_laser2,amb_mp_laser2_ext,,mp_ext_zone_mix,mp_laser2_ext,,mp_tuned_default,,,
mp_laser2_center,amb_mp_laser2_int_middle,,mp_int_zone_mix,mp_laser2_int_slap,,mp_tuned_default,,,
mp_laser2_n_hallway,amb_mp_laser2_int_hum,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_n_exit,amb_mp_laser2_int_hall,,mp_int_zone_mix,mp_laser2_int_slap,,mp_tuned_default,,,
mp_laser2_s_exit,amb_mp_laser2_ext,,mp_int_zone_mix,mp_laser2_int_slap,,mp_tuned_default,,,
mp_laser2_s_balcony,amb_laser2_int,,mp_int_zone_mix,mp_laser2_int_slap,,mp_tuned_default,,,
mp_laser2_s_ruins,amb_laser2_ext,,mp_ext_zone_mix,mp_laser2_ext_slap,,mp_tuned_default,,,
mp_laser2_e_hallway,amb_mp_laser2_int_hall,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_e_bldg_destroyed,amb_laser2_ext,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_w_hallway,amb_mp_laser2_int_hall,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_w_exit,amb_mp_laser2_int_hall,,mp_int_zone_mix,mp_laser2_int_slap,,mp_tuned_default,,,
mp_laser2_ne_bldg_destroyed,amb_mp_laser2_int_corner,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_se_ruins,amb_laser2_ext,,mp_ext_zone_mix,mp_laser2_ext_slap,,mp_tuned_default,,,
mp_laser2_sw_bldg,amb_mp_laser2_int_seaside,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_helipad_below,amb_mp_laser2_int_below,,mp_int_zone_mix,mp_laser2_int_slap2,,mp_tuned_default,,,
mp_laser2_dish,amb_mp_laser2_int_dish,,mp_int_zone_mix,mp_laser2_int,,mp_tuned_default,,,
mp_laser2_radio,amb_laser2_ext,,mp_ext_zone_mix,mp_laser2_ext_slap,,mp_tuned_default,,,
mp_laser2_int_pipe,amb_mp_laser2_int_tunnel,,mp_int_zone_mix,mp_laser2_int_pipe,,mp_tuned_default,,,
mp_laser2_int_sewer,amb_mp_laser2_int_sewer,,mp_int_zone_mix,mp_laser2_int_slap2,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_laser2_int,elevator_shaft,0.9,0.8,0.15,,,,,
mp_laser2_int_slap,elevator_shaft,0.9,0.7,0.15,,,,,
mp_laser2_int_slap2,elevator_shaft,0.9,0.7,0.15,,,,,
mp_laser2_int_pipe,elevator_shaft,0.7,1,0.15,,,,,
mp_laser2_ext,alley,1,0.7,0.15,,,,,
mp_laser2_ext_slap,city_street,1,0.7,0.15,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
